fips,name,state,county
0,UNITED STATES,,united states
1000,ALABAMA,,alabama
1001,Autauga County,AL,autauga county
1003,Baldwin County,AL,baldwin county
1005,Barbour County,AL,barbour county
1007,Bibb County,AL,bibb county
1009,Blount County,AL,blount county
1011,Bullock County,AL,bullock county
1013,Butler County,AL,butler county
1015,Calhoun County,AL,calhoun county
1017,Chambers County,AL,chambers county
1019,Cherokee County,AL,cherokee county
1021,Chilton County,AL,chilton county
1023,Choctaw County,AL,choctaw county
1025,Clarke County,AL,clarke county
1027,Clay County,AL,clay county
1029,Cleburne County,AL,cleburne county
1031,Coffee County,AL,coffee county
1033,Colbert County,AL,colbert county
1035,Conecuh County,AL,conecuh county
1037,Coosa County,AL,coosa county
1039,Covington County,AL,covington county
1041,Crenshaw County,AL,crenshaw county
1043,Cullman County,AL,cullman county
1045,Dale County,AL,dale county
1047,Dallas County,AL,dallas county
1049,DeKalb County,AL,dekalb county
1051,Elmore County,AL,elmore county
1053,Escambia County,AL,escambia county
1055,Etowah County,AL,etowah county
1057,Fayette County,AL,fayette county
1059,Franklin County,AL,franklin county
1061,Geneva County,AL,geneva county
1063,Greene County,AL,greene county
1065,Hale County,AL,hale county
1067,Henry County,AL,henry county
1069,Houston County,AL,houston county
1071,Jackson County,AL,jackson county
1073,Jefferson County,AL,jefferson county
1075,Lamar County,AL,lamar county
1077,Lauderdale County,AL,lauderdale county
1079,Lawrence County,AL,lawrence county
1081,Lee County,AL,lee county
1083,Limestone County,AL,limestone county
1085,Lowndes County,AL,lowndes county
1087,Macon County,AL,macon county
1089,Madison County,AL,madison county
1091,Marengo County,AL,marengo county
1093,Marion County,AL,marion county
1095,Marshall County,AL,marshall county
1097,Mobile County,AL,mobile county
1099,Monroe County,AL,monroe county
1101,Montgomery County,AL,montgomery county
1103,Morgan County,AL,morgan county
1105,Perry County,AL,perry county
1107,Pickens County,AL,pickens county
1109,Pike County,AL,pike county
1111,Randolph County,AL,randolph county
1113,Russell County,AL,russell county
1115,St. Clair County,AL,st. clair county
1117,Shelby County,AL,shelby county
1119,Sumter County,AL,sumter county
1121,Talladega County,AL,talladega county
1123,Tallapoosa County,AL,tallapoosa county
1125,Tuscaloosa County,AL,tuscaloosa county
1127,Walker County,AL,walker county
1129,Washington County,AL,washington county
1131,Wilcox County,AL,wilcox county
1133,Winston County,AL,winston county
2000,ALASKA,,alaska
2013,Aleutians East Borough,AK,aleutians east borough
2016,Aleutians West Census Area,AK,aleutians west census area
2020,Anchorage Municipality,AK,anchorage municipality
2050,Bethel Census Area,AK,bethel census area
2060,Bristol Bay Borough,AK,bristol bay borough
2068,Denali Borough,AK,denali borough
2070,Dillingham Census Area,AK,dillingham census area
2090,Fairbanks North Star Borough,AK,fairbanks north star borough
2100,Haines Borough,AK,haines borough
2105,Hoonah-Angoon Census Area,AK,hoonah-angoon census area
2110,Juneau City and Borough,AK,juneau city and borough
2122,Kenai Peninsula Borough,AK,kenai peninsula borough
2130,Ketchikan Gateway Borough,AK,ketchikan gateway borough
2150,Kodiak Island Borough,AK,kodiak island borough
2164,Lake and Peninsula Borough,AK,lake and peninsula borough
2170,Matanuska-Susitna Borough,AK,matanuska-susitna borough
2180,Nome Census Area,AK,nome census area
2185,North Slope Borough,AK,north slope borough
2188,Northwest Arctic Borough,AK,northwest arctic borough
2195,Petersburg Borough,AK,petersburg borough
2198,Prince of Wales-Hyder Census Area,AK,prince of wales-hyder census area
2220,Sitka City and Borough,AK,sitka city and borough
2230,Skagway Municipality,AK,skagway municipality
2240,Southeast Fairbanks Census Area,AK,southeast fairbanks census area
2261,Valdez-Cordova Census Area,AK,valdez-cordova census area
2270,Wade Hampton Census Area,AK,wade hampton census area
2275,Wrangell City and Borough,AK,wrangell city and borough
2282,Yakutat City and Borough,AK,yakutat city and borough
2290,Yukon-Koyukuk Census Area,AK,yukon-koyukuk census area
4000,ARIZONA,,arizona
4001,Apache County,AZ,apache county
4003,Cochise County,AZ,cochise county
4005,Coconino County,AZ,coconino county
4007,Gila County,AZ,gila county
4009,Graham County,AZ,graham county
4011,Greenlee County,AZ,greenlee county
4012,La Paz County,AZ,la paz county
4013,Maricopa County,AZ,maricopa county
4015,Mohave County,AZ,mohave county
4017,Navajo County,AZ,navajo county
4019,Pima County,AZ,pima county
4021,Pinal County,AZ,pinal county
4023,Santa Cruz County,AZ,santa cruz county
4025,Yavapai County,AZ,yavapai county
4027,Yuma County,AZ,yuma county
5000,ARKANSAS,,arkansas
5001,Arkansas County,AR,arkansas county
5003,Ashley County,AR,ashley county
5005,Baxter County,AR,baxter county
5007,Benton County,AR,benton county
5009,Boone County,AR,boone county
5011,Bradley County,AR,bradley county
5013,Calhoun County,AR,calhoun county
5015,Carroll County,AR,carroll county
5017,Chicot County,AR,chicot county
5019,Clark County,AR,clark county
5021,Clay County,AR,clay county
5023,Cleburne County,AR,cleburne county
5025,Cleveland County,AR,cleveland county
5027,Columbia County,AR,columbia county
5029,Conway County,AR,conway county
5031,Craighead County,AR,craighead county
5033,Crawford County,AR,crawford county
5035,Crittenden County,AR,crittenden county
5037,Cross County,AR,cross county
5039,Dallas County,AR,dallas county
5041,Desha County,AR,desha county
5043,Drew County,AR,drew county
5045,Faulkner County,AR,faulkner county
5047,Franklin County,AR,franklin county
5049,Fulton County,AR,fulton county
5051,Garland County,AR,garland county
5053,Grant County,AR,grant county
5055,Greene County,AR,greene county
5057,Hempstead County,AR,hempstead county
5059,Hot Spring County,AR,hot spring county
5061,Howard County,AR,howard county
5063,Independence County,AR,independence county
5065,Izard County,AR,izard county
5067,Jackson County,AR,jackson county
5069,Jefferson County,AR,jefferson county
5071,Johnson County,AR,johnson county
5073,Lafayette County,AR,lafayette county
5075,Lawrence County,AR,lawrence county
5077,Lee County,AR,lee county
5079,Lincoln County,AR,lincoln county
5081,Little River County,AR,little river county
5083,Logan County,AR,logan county
5085,Lonoke County,AR,lonoke county
5087,Madison County,AR,madison county
5089,Marion County,AR,marion county
5091,Miller County,AR,miller county
5093,Mississippi County,AR,mississippi county
5095,Monroe County,AR,monroe county
5097,Montgomery County,AR,montgomery county
5099,Nevada County,AR,nevada county
5101,Newton County,AR,newton county
5103,Ouachita County,AR,ouachita county
5105,Perry County,AR,perry county
5107,Phillips County,AR,phillips county
5109,Pike County,AR,pike county
5111,Poinsett County,AR,poinsett county
5113,Polk County,AR,polk county
5115,Pope County,AR,pope county
5117,Prairie County,AR,prairie county
5119,Pulaski County,AR,pulaski county
5121,Randolph County,AR,randolph county
5123,St. Francis County,AR,st. francis county
5125,Saline County,AR,saline county
5127,Scott County,AR,scott county
5129,Searcy County,AR,searcy county
5131,Sebastian County,AR,sebastian county
5133,Sevier County,AR,sevier county
5135,Sharp County,AR,sharp county
5137,Stone County,AR,stone county
5139,Union County,AR,union county
5141,Van Buren County,AR,van buren county
5143,Washington County,AR,washington county
5145,White County,AR,white county
5147,Woodruff County,AR,woodruff county
5149,Yell County,AR,yell county
6000,CALIFORNIA,,california
6001,Alameda County,CA,alameda county
6003,Alpine County,CA,alpine county
6005,Amador County,CA,amador county
6007,Butte County,CA,butte county
6009,Calaveras County,CA,calaveras county
6011,Colusa County,CA,colusa county
6013,Contra Costa County,CA,contra costa county
6015,Del Norte County,CA,del norte county
6017,El Dorado County,CA,el dorado county
6019,Fresno County,CA,fresno county
6021,Glenn County,CA,glenn county
6023,Humboldt County,CA,humboldt county
6025,Imperial County,CA,imperial county
6027,Inyo County,CA,inyo county
6029,Kern County,CA,kern county
6031,Kings County,CA,kings county
6033,Lake County,CA,lake county
6035,Lassen County,CA,lassen county
6037,Los Angeles County,CA,los angeles county
6039,Madera County,CA,madera county
6041,Marin County,CA,marin county
6043,Mariposa County,CA,mariposa county
6045,Mendocino County,CA,mendocino county
6047,Merced County,CA,merced county
6049,Modoc County,CA,modoc county
6051,Mono County,CA,mono county
6053,Monterey County,CA,monterey county
6055,Napa County,CA,napa county
6057,Nevada County,CA,nevada county
6059,Orange County,CA,orange county
6061,Placer County,CA,placer county
6063,Plumas County,CA,plumas county
6065,Riverside County,CA,riverside county
6067,Sacramento County,CA,sacramento county
6069,San Benito County,CA,san benito county
6071,San Bernardino County,CA,san bernardino county
6073,San Diego County,CA,san diego county
6075,San Francisco County,CA,san francisco county
6077,San Joaquin County,CA,san joaquin county
6079,San Luis Obispo County,CA,san luis obispo county
6081,San Mateo County,CA,san mateo county
6083,Santa Barbara County,CA,santa barbara county
6085,Santa Clara County,CA,santa clara county
6087,Santa Cruz County,CA,santa cruz county
6089,Shasta County,CA,shasta county
6091,Sierra County,CA,sierra county
6093,Siskiyou County,CA,siskiyou county
6095,Solano County,CA,solano county
6097,Sonoma County,CA,sonoma county
6099,Stanislaus County,CA,stanislaus county
6101,Sutter County,CA,sutter county
6103,Tehama County,CA,tehama county
6105,Trinity County,CA,trinity county
6107,Tulare County,CA,tulare county
6109,Tuolumne County,CA,tuolumne county
6111,Ventura County,CA,ventura county
6113,Yolo County,CA,yolo county
6115,Yuba County,CA,yuba county
8000,COLORADO,,colorado
8001,Adams County,CO,adams county
8003,Alamosa County,CO,alamosa county
8005,Arapahoe County,CO,arapahoe county
8007,Archuleta County,CO,archuleta county
8009,Baca County,CO,baca county
8011,Bent County,CO,bent county
8013,Boulder County,CO,boulder county
8014,Broomfield County,CO,broomfield county
8015,Chaffee County,CO,chaffee county
8017,Cheyenne County,CO,cheyenne county
8019,Clear Creek County,CO,clear creek county
8021,Conejos County,CO,conejos county
8023,Costilla County,CO,costilla county
8025,Crowley County,CO,crowley county
8027,Custer County,CO,custer county
8029,Delta County,CO,delta county
8031,Denver County,CO,denver county
8033,Dolores County,CO,dolores county
8035,Douglas County,CO,douglas county
8037,Eagle County,CO,eagle county
8039,Elbert County,CO,elbert county
8041,El Paso County,CO,el paso county
8043,Fremont County,CO,fremont county
8045,Garfield County,CO,garfield county
8047,Gilpin County,CO,gilpin county
8049,Grand County,CO,grand county
8051,Gunnison County,CO,gunnison county
8053,Hinsdale County,CO,hinsdale county
8055,Huerfano County,CO,huerfano county
8057,Jackson County,CO,jackson county
8059,Jefferson County,CO,jefferson county
8061,Kiowa County,CO,kiowa county
8063,Kit Carson County,CO,kit carson county
8065,Lake County,CO,lake county
8067,La Plata County,CO,la plata county
8069,Larimer County,CO,larimer county
8071,Las Animas County,CO,las animas county
8073,Lincoln County,CO,lincoln county
8075,Logan County,CO,logan county
8077,Mesa County,CO,mesa county
8079,Mineral County,CO,mineral county
8081,Moffat County,CO,moffat county
8083,Montezuma County,CO,montezuma county
8085,Montrose County,CO,montrose county
8087,Morgan County,CO,morgan county
8089,Otero County,CO,otero county
8091,Ouray County,CO,ouray county
8093,Park County,CO,park county
8095,Phillips County,CO,phillips county
8097,Pitkin County,CO,pitkin county
8099,Prowers County,CO,prowers county
8101,Pueblo County,CO,pueblo county
8103,Rio Blanco County,CO,rio blanco county
8105,Rio Grande County,CO,rio grande county
8107,Routt County,CO,routt county
8109,Saguache County,CO,saguache county
8111,San Juan County,CO,san juan county
8113,San Miguel County,CO,san miguel county
8115,Sedgwick County,CO,sedgwick county
8117,Summit County,CO,summit county
8119,Teller County,CO,teller county
8121,Washington County,CO,washington county
8123,Weld County,CO,weld county
8125,Yuma County,CO,yuma county
9000,CONNECTICUT,,connecticut
9001,Fairfield County,CT,fairfield county
9003,Hartford County,CT,hartford county
9005,Litchfield County,CT,litchfield county
9007,Middlesex County,CT,middlesex county
9009,New Haven County,CT,new haven county
9011,New London County,CT,new london county
9013,Tolland County,CT,tolland county
9015,Windham County,CT,windham county
