RSRQ (LTE pcell),RSRP (LTE pcell),Physical cell identity (LTE pcell),Time,time,nemo_abs_time,longitude,latitude,altitude,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name
-10.4,-83.9,493, 8:21:46.416,2024-08-23  8:21:46.416,1724415706416.0,-96.768913,32.86311,168.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-10.9,-85.7,493, 8:21:47.021,2024-08-23  8:21:47.021,1724415707021.0,-96.768913,32.86311,168.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-10.9,-83.7,493, 8:21:47.630,2024-08-23  8:21:47.630,1724415707630.0,-96.768917875502,32.86311,166.78112449799198,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-9.8,-83.1,493, 8:21:48.278,2024-08-23  8:21:48.278,1724415708278.0,-96.7689248389328,32.863107952569166,165.48814229249012,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.0,-81.8,493, 8:21:48.911,2024-08-23  8:21:48.911,1724415708911.0,-96.76893422134388,32.8631029486166,164.23715415019765,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-14.4,-86.4,493, 8:21:49.412,2024-08-23  8:21:49.412,1724415709412.0,-96.76893908190092,32.863102,163.61476238624874,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-11.1,-80.3,493, 8:21:49.913,2024-08-23  8:21:49.913,1724415709913.0,-96.76894313447929,32.863102,163.108190091001,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-14.8,-82.9,493, 8:21:50.414,2024-08-23  8:21:50.414,1724415710414.0,-96.768944,32.86310356039604,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-14.1,-82.3,493, 8:21:51.230,2024-08-23  8:21:51.230,1724415711230.0,-96.768944,32.8631051902834,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.8,-79.9,493, 8:21:51.820,2024-08-23  8:21:51.820,1724415711820.0,-96.768944,32.86310280161943,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-13.7,-82.0,493, 8:21:52.481,2024-08-23  8:21:52.481,1724415712481.0,-96.76894716195122,32.863103806829265,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.6,-80.4,493, 8:21:53.146,2024-08-23  8:21:53.146,1724415713146.0,-96.768951,32.863105586760284,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-11.6,-80.4,493, 8:21:53.756,2024-08-23  8:21:53.756,1724415713756.0,-96.768951,32.86310313941826,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-11.1,-81.0,493, 8:21:54.350,2024-08-23  8:21:54.350,1724415714350.0,-96.768951,32.863102,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.1,-80.9,493, 8:21:55.029,2024-08-23  8:21:55.029,1724415715029.0,-96.768951,32.863102,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.3,-80.8,493, 8:21:55.608,2024-08-23  8:21:55.608,1724415715608.0,-96.768951,32.863102,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-13.3,-80.9,493, 8:21:56.301,2024-08-23  8:21:56.301,1724415716301.0,-96.768951,32.86310305263158,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.9,-80.9,493, 8:21:56.905,2024-08-23  8:21:56.905,1724415716905.0,-96.768951,32.86310549797571,163.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-12.9,-81.2,493, 8:21:57.583,2024-08-23  8:21:57.583,1724415717583.0,-96.768951,32.863106,162.45148514851485,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-11.2,-80.7,493, 8:21:58.157,2024-08-23  8:21:58.157,1724415718157.0,-96.768951,32.863106,162.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-13.5,-81.8,493, 8:21:58.888,2024-08-23  8:21:58.888,1724415718888.0,-96.768951,32.863106,162.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
-11.3,-81.9,493, 8:21:59.520,2024-08-23  8:21:59.520,1724415719520.0,-96.768951,32.863106,162.0,TX,48113007912,48113007912,510365,510365,48113,Dallas County
