RSRQ (LTE pcell),RSRP (LTE pcell),Physical cell identity (LTE pcell),Time,time,nemo_abs_time,longitude,latitude,altitude
-13.3,-80.7,484, 9:04:54.760,04:54.8,1.72399E+12,,,
-13.7,-79.4,484, 9:04:55.188,04:55.2,1.72399E+12,-121.890427,37.705471,77.16218905472637
-9.2,-83.8,484, 9:04:55.692,04:55.7,1.72399E+12,-121.890427,37.705471,77.66368159203981
-11.4,-85.2,484, 9:04:56.359,04:56.4,1.72399E+12,-121.8904244,37.705471,78
-10.6,-90.6,484, 9:04:56.984,04:57.0,1.72399E+12,-121.8904194,37.705471,78
-10.3,-85.5,484, 9:04:57.502,04:57.5,1.72399E+12,-121.890419,37.705471,78
-10.5,-85.1,484, 9:04:58.016,04:58.0,1.72399E+12,-121.890419,37.705471,78
-17.6,-111,33, 9:04:58.654,04:58.7,1.72399E+12,-121.890419,37.705471,78
-15.4,-110.3,33, 9:04:59.383,04:59.4,1.72399E+12,-121.890419,37.705471,78
-11.6,-107.2,33, 9:04:59.943,04:59.9,1.72399E+12,-121.890419,37.705471,78
-12.3,-107.9,33, 9:05:00.467,05:00.5,1.72399E+12,-121.890419,37.705471,78
-10.6,-108.6,33, 9:05:01.124,05:01.1,1.72399E+12,-121.890419,37.705471,78
-11.9,-105.3,33, 9:05:01.726,05:01.7,1.72399E+12,-121.890419,37.705471,78
-12.6,-114.6,33, 9:05:02.325,05:02.3,1.72399E+12,-121.890419,37.705471,78
-11.8,-106.4,33, 9:05:02.876,05:02.9,1.72399E+12,-121.890419,37.705471,78
-12.8,-106.6,33, 9:05:03.403,05:03.4,1.72399E+12,-121.890419,37.705471,78
-12,-104.9,33, 9:05:03.933,05:03.9,1.72399E+12,-121.890419,37.705471,78
-11.2,-114.3,33, 9:05:04.582,05:04.6,1.72399E+12,-121.890419,37.705471,78
-11.8,-104.2,33, 9:05:05.231,05:05.2,1.72399E+12,-121.890419,37.705471,78
-12.1,-105.4,33, 9:05:05.875,05:05.9,1.72399E+12,-121.890419,37.705471,78
-12.7,-105.4,33, 9:05:06.472,05:06.5,1.72399E+12,-121.890419,37.705471,78
-11.4,-105.2,33, 9:05:07.079,05:07.1,1.72399E+12,-121.890419,37.705471,78
-12.6,-105.8,33, 9:05:08.449,05:08.4,1.72399E+12,-121.890419,37.705471,78
-10.8,-106.3,33, 9:05:09.062,05:09.1,1.72399E+12,-121.890419,37.705471,78
-12.1,-112.6,33, 9:05:09.741,05:09.7,1.72399E+12,-121.890419,37.705471,78
-10.8,-106.8,33, 9:05:10.589,05:10.6,1.72399E+12,-121.890419,37.705471,78
-14.8,-107.2,33, 9:05:11.092,05:11.1,1.72399E+12,-121.890419,37.705471,78
-11.2,-106.6,33, 9:05:11.817,05:11.8,1.72399E+12,-121.890419,37.705471,78
-11.2,-106.6,33, 9:05:12.358,05:12.4,1.72399E+12,-121.890419,37.705471,78
-11.8,-111.1,33, 9:05:13.094,05:13.1,1.72399E+12,-121.890419,37.705471,78
-14.2,-103.5,33, 9:05:13.641,05:13.6,1.72399E+12,-121.890419,37.705471,78
-10.9,-104,33, 9:05:14.241,05:14.2,1.72399E+12,-121.890419,37.705471,78
-10.1,-104.1,33, 9:05:14.791,05:14.8,1.72399E+12,-121.890419,37.705471,78
-10.3,-103.9,33, 9:05:15.360,05:15.4,1.72399E+12,-121.890419,37.705471,78
-10.7,-103.4,33, 9:05:16.281,05:16.3,1.72399E+12,-121.890419,37.705471,78
-10.1,-102.5,33, 9:05:17.844,05:17.8,1.72399E+12,-121.890419,37.705471,78
-10.1,-102.5,33, 9:05:18.442,05:18.4,1.72399E+12,-121.890419,37.705471,78
-11.4,-102.6,33, 9:05:19.339,05:19.3,1.72399E+12,-121.890419,37.705471,78
-10.9,-106.3,33, 9:05:20.081,05:20.1,1.72399E+12,-121.890419,37.705471,78
-10.8,-107.6,33, 9:05:22.283,05:22.3,1.72399E+12,-121.890419,37.705471,78
-11.9,-107,33, 9:05:23.563,05:23.6,1.72399E+12,-121.890419,37.705471,78
-12.1,-108.8,33, 9:05:24.643,05:24.6,1.72399E+12,-121.890419,37.705471,78
-11.6,-106.1,33, 9:05:25.382,05:25.4,1.72399E+12,-121.890419,37.705471,78
-11.2,-104.5,33, 9:05:26.680,05:26.7,1.72399E+12,-121.890419,37.705471,78
-12.3,-109.3,33, 9:05:28.492,05:28.5,1.72399E+12,-121.890419,37.705471,78
-13.1,-108.7,33, 9:05:29.041,05:29.0,1.72399E+12,-121.890419,37.705471,78
-10.8,-105.2,33, 9:05:31.230,05:31.2,1.72399E+12,-121.890419,37.705471,78
-13.1,-110.2,33, 9:05:31.880,05:31.9,1.72399E+12,-121.890419,37.705471,78
-15.4,-109.1,33, 9:05:32.532,05:32.5,1.72399E+12,-121.890419,37.705471,78
-15.4,-109.1,33, 9:05:33.525,05:33.5,1.72399E+12,-121.890419,37.705471,78
-12.8,-109.1,33, 9:05:34.480,05:34.5,1.72399E+12,-121.890419,37.705471,78
-11.7,-108.5,33, 9:05:35.763,05:35.8,1.72399E+12,-121.890419,37.705471,78
-10.8,-107.3,33, 9:05:37.644,05:37.6,1.72399E+12,-121.890419,37.705471,78
-9.7,-105.6,33, 9:05:38.723,05:38.7,1.72399E+12,-121.890419,37.705471,78
-10.9,-106.8,33, 9:05:40.314,05:40.3,1.72399E+12,-121.890419,37.705471,78
-10.4,-106.2,33, 9:05:41.564,05:41.6,1.72399E+12,-121.890419,37.705471,78
-10.5,-105.8,33, 9:05:42.566,05:42.6,1.72399E+12,-121.890419,37.705471,78
-9.9,-106.3,33, 9:05:44.312,05:44.3,1.72399E+12,-121.890419,37.705471,78
-11.6,-107.6,33, 9:05:44.815,05:44.8,1.72399E+12,-121.890419,37.705471,78
-11.6,-105.9,33, 9:05:46.674,05:46.7,1.72399E+12,-121.8904138,37.705471,78
-13.6,-100.9,33, 9:05:47.998,05:48.0,1.72399E+12,-121.890411,37.705471,77.02323232323232
-11,-101.5,33, 9:05:48.999,05:49.0,1.72399E+12,-121.8904042,37.70546713438735,77
-11.4,-98.9,33, 9:05:50.107,05:50.1,1.72399E+12,-121.890411,37.705475,76.91583166332666
-9.5,-96.3,33, 9:05:50.633,05:50.6,1.72399E+12,-121.890411,37.705475,76.38877755511022
-10.3,-95.6,33, 9:05:51.231,05:51.2,1.72399E+12,-121.890411,37.705475,76
-10,-96,33, 9:05:51.999,05:52.0,1.72399E+12,-121.890411,37.705475,76
-10.3,-95.4,33, 9:05:52.520,05:52.5,1.72399E+12,-121.890411,37.705475,75.50351053159478
-10.1,-96.5,33, 9:05:53.410,05:53.4,1.72399E+12,-121.890411,37.70547654,75
-11,-97,33, 9:05:53.997,05:54.0,1.72399E+12,-121.890411,37.70547888059701,75
-10.7,-97.1,33, 9:05:54.610,05:54.6,1.72399E+12,-121.890411,37.705479,75
-12,-97.4,33, 9:05:55.392,05:55.4,1.72399E+12,-121.890411,37.705479,75
-10.5,-97.8,33, 9:05:55.998,05:56.0,1.72399E+12,-121.890411,37.705479,75
-10.9,-97.2,33, 9:05:56.554,05:56.6,1.72399E+12,-121.890411,37.705479,75
-10.9,-98,33, 9:05:57.253,05:57.3,1.72399E+12,-121.890411,37.705479,75
-17.8,-108.4,33, 9:05:57.999,05:58.0,1.72399E+12,-121.890411,37.705479,75
-11.2,-100.4,33, 9:05:58.807,05:58.8,1.72399E+12,-121.890411,37.705479,75
-14.7,-96.8,33, 9:05:59.338,05:59.3,1.72399E+12,-121.890411,37.705479,75
-10.4,-97.3,33, 9:05:59.942,05:59.9,1.72399E+12,-121.890411,37.705479,75
-10.4,-97.2,33, 9:06:00.598,06:00.6,1.72399E+12,-121.890411,37.705479,75
-11.6,-97.2,33, 9:06:01.283,06:01.3,1.72399E+12,-121.890411,37.705479,75
-13,-98,33, 9:06:01.851,06:01.9,1.72399E+12,-121.890411,37.705479,75
-11.8,-97.7,33, 9:06:02.515,06:02.5,1.72399E+12,-121.890411,37.705479,75
-11,-98.4,33, 9:06:03.102,06:03.1,1.72399E+12,-121.890411,37.705479,75
-10.9,-98.7,33, 9:06:03.853,06:03.9,1.72399E+12,-121.890411,37.705479,75
-11.5,-98.7,33, 9:06:04.440,06:04.4,1.72399E+12,-121.890411,37.705479,75
-13.2,-97.4,33, 9:06:04.998,06:05.0,1.72399E+12,-121.890411,37.705479,75
-11.4,-96.9,33, 9:06:05.507,06:05.5,1.72399E+12,-121.890411,37.705479,75
-14.6,-102.6,33, 9:06:06.293,06:06.3,1.72399E+12,-121.890411,37.705479,75
-12.9,-98.6,33, 9:06:08.545,06:08.5,1.72399E+12,-121.890411,37.705479,75
-10.9,-98.1,33, 9:06:09.448,06:09.4,1.72399E+12,-121.890411,37.705479,75
-11.6,-97.9,33, 9:06:09.999,06:10.0,1.72399E+12,-121.890411,37.705479,75
-10.7,-96.9,33, 9:06:11.999,06:12.0,1.72399E+12,-121.890411,37.705479,75
-10.6,-96.8,33, 9:06:13.543,06:13.5,1.72399E+12,-121.890411,37.705480553892215,75
-11.4,-97.3,33, 9:06:14.297,06:14.3,1.72399E+12,-121.890411,37.705482,75
-11.7,-97,33, 9:06:15.793,06:15.8,1.72399E+12,-121.890411,37.705482,75
-10.6,-97.4,33, 9:06:17.293,06:17.3,1.72399E+12,-121.890411,37.705482,75
-11.1,-97.3,33, 9:06:18.000,06:18.0,1.72399E+12,-121.890411,37.705482,75
-10.8,-97.4,33, 9:06:19.494,06:19.5,1.72399E+12,-121.890411,37.705482,75
-11.3,-98.4,33, 9:06:21.001,06:21.0,1.72399E+12,-121.890411,37.705482,75
-10.4,-97.1,33, 9:06:21.539,06:21.5,1.72399E+12,-121.890411,37.705482,75
-10.6,-96.7,33, 9:06:22.050,06:22.0,1.72399E+12,-121.890411,37.705482,75
-10.5,-96.9,33, 9:06:22.736,06:22.7,1.72399E+12,-121.890411,37.705482,75
-11.1,-96.7,33, 9:06:23.242,06:23.2,1.72399E+12,-121.890411,37.705482,75
-11.2,-97.1,33, 9:06:23.979,06:24.0,1.72399E+12,-121.890411,37.705482,75
-11.5,-97.6,33, 9:06:24.943,06:24.9,1.72399E+12,-121.890411,37.705482,75
-11.1,-97.2,33, 9:06:25.475,06:25.5,1.72399E+12,-121.890411,37.705482,75
-11.1,-97.3,33, 9:06:26.225,06:26.2,1.72399E+12,-121.890411,37.705482,75
-11.1,-97.3,33, 9:06:26.904,06:26.9,1.72399E+12,-121.890411,37.705482,75
-10.8,-97.6,33, 9:06:27.410,06:27.4,1.72399E+12,-121.890411,37.705482,75
-10.9,-97.4,33, 9:06:28.145,06:28.1,1.72399E+12,-121.890411,37.705482,75
-15.6,-102.7,33, 9:06:28.678,06:28.7,1.72399E+12,-121.890411,37.705482,75
-11.9,-99.9,33, 9:06:29.202,06:29.2,1.72399E+12,-121.890411,37.705482,75
-10.6,-98.9,33, 9:06:31.572,06:31.6,1.72399E+12,-121.890411,37.705482,75
-11.4,-98.3,33, 9:06:32.412,06:32.4,1.72399E+12,-121.890411,37.705482,75
-15.4,-101.2,33, 9:06:33.412,06:33.4,1.72399E+12,-121.890411,37.705482,75
-16.6,-96.3,33, 9:06:34.662,06:34.7,1.72399E+12,-121.890411,37.705482,75
-14.5,-97.8,33, 9:06:35.206,06:35.2,1.72399E+12,-121.890411,37.705482,75
-13.9,-98.8,33, 9:06:35.809,06:35.8,1.72399E+12,-121.890411,37.705482,75
-15.3,-99.1,33, 9:06:36.464,06:36.5,1.72399E+12,-121.890411,37.70547896828543,74.56689791873141
-15,-98.1,33, 9:06:37.192,06:37.2,1.72399E+12,-121.890411,37.70547373811931,74.15773509
-15.1,-92.9,33, 9:06:37.798,06:37.8,1.72399E+12,-121.890411,37.70546883619818,74.77047522750253
-12.3,-90.3,33, 9:06:38.302,06:38.3,1.72399E+12,-121.890411,37.70546395908183,75
-11.5,-92.8,33, 9:06:38.811,06:38.8,1.72399E+12,-121.890411,37.705458371257485,75
-16.3,-91.5,33, 9:06:39.640,06:39.6,1.72399E+12,-121.8904159,37.70544861445783,75
-11.5,-98.3,33, 9:06:40.305,06:40.3,1.72399E+12,-121.8904213,37.70544203,75
-11.1,-98.4,33, 9:06:40.923,06:40.9,1.72399E+12,-121.8904262,37.705437700000004,75
-16,-99.1,33, 9:06:41.681,06:41.7,1.72399E+12,-121.8904316,37.70543437848605,75
-14.8,-97.1,33, 9:06:42.412,06:42.4,1.72399E+12,-121.8904371,37.70543145226131,75
-9.8,-98.6,33, 9:06:43.804,06:43.8,1.72399E+12,-121.890442,37.705429,75
-13.6,-96.4,33, 9:06:45.416,06:45.4,1.72399E+12,-121.8904362,37.705429,75
-12.9,-97.1,33, 9:06:45.922,06:45.9,1.72399E+12,-121.8904285,37.705429,75
-12.1,-96.6,33, 9:06:48.173,06:48.2,1.72399E+12,-121.8903512,37.70542440518962,75
-9.9,-94,33, 9:06:49.411,06:49.4,1.72399E+12,-121.8902944,37.705421,75.38346613545816
-11.7,-96.3,33, 9:06:50.670,06:50.7,1.72399E+12,-121.8902416,37.70541908,75.35871743486975
-9.6,-95.6,33, 9:06:51.347,06:51.3,1.72399E+12,-121.8902159,37.705418,75
-10.4,-94.1,33, 9:06:52.925,06:52.9,1.72399E+12,-121.8901486,37.705414402819734,75.89929507
-10.5,-94.1,33, 9:06:54.411,06:54.4,1.72399E+12,-121.8900815,37.705414,76
-10.9,-92.5,33, 9:06:55.173,06:55.2,1.72399E+12,-121.8900463,37.705413419419415,76
-11.1,-90.6,33, 9:06:57.175,06:57.2,1.72399E+12,-121.8899634,37.70541058741259,76
-10.1,-91.2,33, 9:06:58.169,06:58.2,1.72399E+12,-121.8899256,37.705414,76
-11.6,-91.8,33, 9:06:59.164,06:59.2,1.72399E+12,-121.8898875,37.705414,76
-10.6,-90.9,33, 9:07:00.412,07:00.4,1.72399E+12,-121.8898455,37.705414,76
-11.1,-91.1,33, 9:07:01.926,07:01.9,1.72399E+12,-121.889832,37.705414,76
-10.9,-90.9,33, 9:07:03.410,07:03.4,1.72399E+12,-121.889832,37.70541553692615,76
-10.7,-91,33, 9:07:04.178,07:04.2,1.72399E+12,-121.889832,37.705418,76
-11.6,-91.1,33, 9:07:06.171,07:06.2,1.72399E+12,-121.889832,37.705418,76
-10.8,-93.1,33, 9:07:07.171,07:07.2,1.72399E+12,-121.889832,37.705418,76
-11.1,-90.7,33, 9:07:08.670,07:08.7,1.72399E+12,-121.8898269,37.705418,76
-10.6,-91.3,33, 9:07:09.404,07:09.4,1.72399E+12,-121.8898184,37.7054165,76
-11.8,-91.2,33, 9:07:10.920,07:10.9,1.72399E+12,-121.8897885,37.705414,76
-11.6,-91.6,33, 9:07:12.172,07:12.2,1.72399E+12,-121.8897424,37.705414,76
-9.6,-91.5,33, 9:07:13.170,07:13.2,1.72399E+12,-121.8897026,37.705414,76
-11.4,-91.1,33, 9:07:15.172,07:15.2,1.72399E+12,-121.8896114,37.70541343,76
-10.6,-92.8,33, 9:07:16.013,07:16.0,1.72399E+12,-121.8895726,37.70541005611223,76
-11.2,-91.8,33, 9:07:17.670,07:17.7,1.72399E+12,-121.8894896,37.70541,76
-11.2,-91.6,33, 9:07:18.362,07:18.4,1.72399E+12,-121.8894528,37.70541,76
-10.2,-90.9,33, 9:07:19.639,07:19.6,1.72399E+12,-121.8893797,37.70540756068205,76
-9.9,-89.4,33, 9:07:20.169,07:20.2,1.72399E+12,-121.8893503,37.705406,76
-9.9,-90.8,33, 9:07:22.174,07:22.2,1.72399E+12,-121.8892262,37.705409421686745,76
-11.7,-93.5,33, 9:07:23.919,07:23.9,1.72399E+12,-121.8891137,37.70540243868395,75.10967098703888
-13.9,-93.6,33, 9:07:25.178,07:25.2,1.72399E+12,-121.8890367,37.70540154191617,75.84730538922156
-14.2,-93.6,33, 9:07:26.674,07:26.7,1.72399E+12,-121.88895,37.70539640681363,75
-15.4,-94.1,33, 9:07:27.320,07:27.3,1.72399E+12,-121.8889131,37.705395,75
-14.8,-93,33, 9:07:28.609,07:28.6,1.72399E+12,-121.8888392,37.705395,75
-12,-93.4,33, 9:07:30.174,07:30.2,1.72399E+12,-121.8887634,37.70539442570281,75.14357429718875
-11.2,-93.8,33, 9:07:31.160,07:31.2,1.72399E+12,-121.8887119,37.705391,75.86779324055667
-11.8,-93.4,33, 9:07:32.921,07:32.9,1.72399E+12,-121.8886312,37.705391,75.888
-13.9,-95.1,33, 9:07:34.019,07:34.0,1.72399E+12,-121.8885962,37.705391,75.00804828973843
-16.4,-94.8,33, 9:07:35.677,07:35.7,1.72399E+12,-121.8885501,37.705391,75
-13.1,-92.8,33, 9:07:36.279,07:36.3,1.72399E+12,-121.8885363,37.705391,75
-14.3,-92.3,33, 9:07:37.670,07:37.7,1.72399E+12,-121.8885043,37.70538844,75
-13,-96.3,33, 9:07:39.177,07:39.2,1.72399E+12,-121.8884777,37.705387,75
-14,-98.3,33, 9:07:40.122,07:40.1,1.72399E+12,-121.8884558,37.705387,75
-13.4,-98.2,33, 9:07:40.675,07:40.7,1.72399E+12,-121.8884432,37.705387,75
-13.4,-98.2,33, 9:07:41.923,07:41.9,1.72399E+12,-121.8884144,37.705387,75
-14.5,-96.9,33, 9:07:43.172,07:43.2,1.72399E+12,-121.8883867,37.70538242742742,75
-16.6,-93.6,33, 9:07:44.411,07:44.4,1.72399E+12,-121.8883523,37.70537321450151,75
-11.1,-91.2,33, 9:07:45.046,07:45.0,1.72399E+12,-121.8883282,37.70536342842943,75
