technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,num_seen_cells,cell_tower_distance
4G_LTE,-114,4,-114,-14,-83,2147483647,26,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4800.795563,46:53.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-113,4,-113,-15,-83,2147483647,27,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4801.802428,46:54.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-113,4,-113,-15,-83,2147483647,27,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4802.810248,46:55.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-115,3,-115,-16,-83,2147483647,25,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4803.806302,46:56.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-115,3,-115,-16,-83,2147483647,25,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4804.807171,46:57.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-114,3,-114,-15,-83,2147483647,26,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4805.809327,46:58.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-114,3,-114,-15,-83,2147483647,26,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4806.810486,46:59.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-110,4,-110,-15,-81,2147483647,30,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4807.810028,47:00.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-110,4,-110,-15,-81,2147483647,30,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4808.8136,47:01.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-109,4,-109,-12,-81,2147483647,31,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4809.814262,47:02.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-109,4,-109,-12,-81,2147483647,31,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4810.817349,47:03.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-110,4,-110,-14,-77,2147483647,30,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4811.819313,47:04.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-110,4,-110,-14,-77,2147483647,30,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4812.820586,47:05.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-107,5,-107,-12,-77,2147483647,33,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4813.829964,47:06.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-107,5,-107,-12,-77,2147483647,33,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4814.833499,47:07.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-108,5,-108,-13,-81,2147483647,32,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4815.833411,47:08.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-108,5,-108,-13,-81,2147483647,32,5145,201,41,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4816.834068,47:09.2,-113.8600539,36.9202311,569.9449436747151,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5049027163601909
4G_LTE,-112,8,-112,-14,-83,2147483647,28,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4817.833805,47:10.2,-113.86000103359288,36.92026571443687,570.059418372641,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5105241368504746
4G_LTE,-112,8,-112,-14,-83,2147483647,28,5145,201,42,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4818.836014,47:11.2,-113.85977431807838,36.9204141570924,570.5503386270424,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5347447178253001
4G_LTE,-114,7,-114,-16,-83,2147483647,26,5145,201,44,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4819.841135,47:12.2,-113.85954694382346,36.920563031060176,571.0426852902871,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5592023823122125
4G_LTE,-114,7,-114,-16,-83,2147483647,26,5145,201,44,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190000000.0,4820.841831,47:13.2,-113.85932057057347,36.92071124961701,571.5328644194892,AZ,4015950101.0,4015950101.0,12306701707.0,12306701707.0,4015.0,Mohave County,0.77,3.0,211.0,0.5836974218338887
