start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(np.float64(37.70137790810802), np.float64(-121.87731155257268), np.float64(75.6189598230876))","(np.float64(37.70131080123854), np.float64(-121.86984325158924), np.float64(78.48001465813907))",6001450744.0,0.6588575625252641,6001450744.0,5669.67,1.0,152
"(np.float64(37.70131080123854), np.float64(-121.86984325158924), np.float64(78.48001465813907))","(np.float64(37.70131954792008), np.float64(-121.86904136545556), np.float64(76.94567645259308))",6001450744.0,0.07074049985958299,6001450744.0,5669.67,1.0,442
"(np.float64(37.70131954792008), np.float64(-121.86904136545556), np.float64(76.94567645259308))","(np.float64(37.70132190688534), np.float64(-121.8650360125246), np.float64(74.13577998290958))",6001450744.0,0.3532689622121724,6001450744.0,5669.67,1.0,152
"(np.float64(37.70132190688534), np.float64(-121.8650360125246), np.float64(74.13577998290958))","(np.float64(37.70131571470147), np.float64(-121.86383867749352), np.float64(74.10586650763898))",6001450744.0,0.10559344570896464,6001450744.0,5669.67,1.0,479
"(np.float64(37.70131571470147), np.float64(-121.86383867749352), np.float64(74.10586650763898))","(np.float64(37.70133596705359), np.float64(-121.86099607799856), np.float64(74.50833738714105))",6001450744.0,0.25069653286251736,6001450744.0,5669.67,1.0,395
"(np.float64(37.70133596705359), np.float64(-121.86099607799856), np.float64(74.50833738714105))","(np.float64(37.70133932050345), np.float64(-121.86058871585396), np.float64(74.57212555752214))",6001450744.0,0.03592664279916549,6001450744.0,5669.67,1.0,394
"(np.float64(37.70133932050345), np.float64(-121.86058871585396), np.float64(74.57212555752214))","(np.float64(37.701355536441234), np.float64(-121.85818888335632), np.float64(74.79999542236328))",6001450744.0,0.21164592153266684,6001450744.0,5669.67,1.0,479
"(np.float64(37.701355536441234), np.float64(-121.85818888335632), np.float64(74.79999542236328))","(np.float64(37.70136080458017), np.float64(-121.8570142248548), np.float64(74.79999542236328))",6001450744.0,0.10359300163962701,6001450744.0,5669.67,1.0,394
"(np.float64(37.70136080458017), np.float64(-121.8570142248548), np.float64(74.79999542236328))","(np.float64(37.70098663868502), np.float64(-121.85404475006476), np.float64(75.28747249336325))",6001450744.0,0.27266012049180466,6001450744.0,5669.67,1.0,442
"(np.float64(37.70098663868502), np.float64(-121.85404475006476), np.float64(75.28747249336325))","(np.float64(37.70066911466351), np.float64(-121.85339529018428), np.float64(75.69060081370263))",6001450744.0,0.06725078347566033,6001450744.0,5669.67,1.0,394
"(np.float64(37.70066911466351), np.float64(-121.85339529018428), np.float64(75.69060081370263))","(np.float64(37.70019205164634), np.float64(-121.85241951112783), np.float64(76.29627975380386))",6001450744.0,0.10104113589586056,6001450744.0,5669.67,1.0,479
"(np.float64(37.701108368872966), np.float64(-121.83400570182688), np.float64(84.23938343960012))","(np.float64(37.700935801202775), np.float64(-121.81423090651496), np.float64(92.83810551580684))",6001451300.0,1.7443775897936578,6001451300.0,1354.01,1.0,170
"(np.float64(37.700935801202775), np.float64(-121.81423090651496), np.float64(92.83810551580684))","(np.float64(37.7009102064269), np.float64(-121.8114759016234), np.float64(95.3780573168204))",6001451300.0,0.24299173999145193,6001451300.0,1354.01,1.0,12
"(np.float64(37.7009102064269), np.float64(-121.8114759016234), np.float64(95.3780573168204))","(np.float64(37.7009029044279), np.float64(-121.81068991923908), np.float64(96.10268665550626))",6001451300.0,0.06932376735511048,6001451300.0,1354.01,1.0,82
"(np.float64(37.7009029044279), np.float64(-121.81068991923908), np.float64(96.10268665550626))","(np.float64(37.700868888434506), np.float64(-121.80873060938062), np.float64(95.8778246658975))",6001451300.0,0.17283304231275043,6001451300.0,1354.01,1.0,424
"(np.float64(37.700868888434506), np.float64(-121.80873060938062), np.float64(95.8778246658975))","(np.float64(37.70060154375621), np.float64(-121.80136782085376), np.float64(94.30721798910132))",6001451300.0,0.6522882829568417,6001451300.0,1354.01,1.0,306
"(np.float64(37.70060154375621), np.float64(-121.80136782085376), np.float64(94.30721798910132))","(np.float64(37.70069688088481), np.float64(-121.797042215095), np.float64(94.91999426693263))",6001451300.0,0.3820085338802093,6001451300.0,1354.01,1.0,12
"(np.float64(37.70069688088481), np.float64(-121.797042215095), np.float64(94.91999426693263))","(np.float64(37.69958830828842), np.float64(-121.78739410978017), np.float64(102.78472203704848))",6001451300.0,0.862856343058987,6001451300.0,1354.01,1.0,424
"(np.float64(37.699836629906684), np.float64(-121.78145178622964), np.float64(108.73004931037632))","(np.float64(37.70276036918854), np.float64(-121.76040759439142), np.float64(114.25047796985228))",6001451401.0,1.8858514089246912,6001451401.0,3336.83,1.0,268
"(np.float64(37.70276036918854), np.float64(-121.76040759439142), np.float64(114.25047796985228))","(np.float64(37.70276717637171), np.float64(-121.75381941797563), np.float64(118.66856599542209))",6001451401.0,0.5818146896624953,6001451401.0,3336.83,1.0,110
"(np.float64(37.71104324461916), np.float64(-121.71873953072078), np.float64(129.98587120243084))","(np.float64(37.71198052053404), np.float64(-121.71643842531896), np.float64(132.1881281889864))",6001451104.0,0.22803643817407174,6001451104.0,36.22,1.0,293
"(np.float64(37.71198052053404), np.float64(-121.71643842531896), np.float64(132.1881281889864))","(np.float64(37.71263572844989), np.float64(-121.71461094018424), np.float64(134.84348494346463))",6001451104.0,0.17681116117265916,6001451104.0,36.22,1.0,140
"(np.float64(37.71263572844989), np.float64(-121.71461094018424), np.float64(134.84348494346463))","(np.float64(37.71819711068541), np.float64(-121.6983925682858), np.float64(169.552818481825))",6001451104.0,1.5678879587770609,6001451104.0,36.22,1.0,293
"(np.float64(37.71819711068541), np.float64(-121.6983925682858), np.float64(169.552818481825))","(np.float64(37.71946453003795), np.float64(-121.6920161611508), np.float64(189.8770209594489))",6001451104.0,0.5799221366717888,6001451104.0,36.22,1.0,477
"(np.float64(37.71946453003795), np.float64(-121.6920161611508), np.float64(189.8770209594489))","(np.float64(37.72008152252749), np.float64(-121.68919471417072), np.float64(199.59930474931784))",6001451104.0,0.2582101347864045,6001451104.0,36.22,1.0,256
"(np.float64(37.72008152252749), np.float64(-121.68919471417072), np.float64(199.59930474931784))","(np.float64(37.72188133807042), np.float64(-121.68041625568566), np.float64(231.4771685719468))",6001451104.0,0.8009205198377392,6001451104.0,36.22,1.0,110
"(np.float64(37.72188133807042), np.float64(-121.68041625568566), np.float64(231.4771685719468))","(np.float64(37.72166048092827), np.float64(-121.6781582914849), np.float64(237.476723580872))",6001451104.0,0.20067014778210807,6001451104.0,36.22,1.0,256
