population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
9614.31,1.0,-121.89026505181177,37.705498454675954,74.9000015258789,1723997119523.0,9.0,-87,-9,-61,
9614.31,1.0,-121.89025808261437,37.70549683342629,74.9000015258789,1723997120526.0,12.0,-85,-9,-55,
9614.31,1.0,-121.89024899815968,37.70549422610689,74.9000015258789,1723997121527.0,12.0,-85,-9,-55,
9614.31,1.0,-121.89023755112316,37.70549053537472,74.9000015258789,1723997122536.0,12.0,-85,-10,-59,
9614.31,1.0,-121.89022620452508,37.70548687702572,74.9000015258789,1723997123537.0,12.0,-85,-10,-59,
9614.31,1.0,-121.89021484261578,37.7054832137401,74.9000015258789,1723997124538.0,13.0,-87,-11,-59,
9614.31,1.0,-121.89020322589012,37.70547946829707,74.9000015258789,1723997125563.0,13.0,-87,-11,-59,
9614.31,1.0,-121.89019187379569,37.70547580817594,74.9000015258789,1723997126564.0,12.0,-86,-11,-55,
9614.31,1.0,-121.89018051422786,37.70547214564526,74.9000015258789,1723997127565.0,12.0,-86,-11,-55,
9614.31,1.0,-121.89017614883826,37.70547304831664,74.9000015258789,1723997128564.0,14.0,-86,-10,-59,
9614.31,1.0,-121.89017816419504,37.70547813709251,74.9000015258789,1723997129568.0,14.0,-86,-10,-59,
9614.31,1.0,-121.89018017683564,37.70548321901001,74.9000015258789,1723997130570.0,14.0,-86,-10,-57,
9614.31,1.0,-121.89018219077974,37.70548830421885,74.9000015258789,1723997131572.0,14.0,-86,-10,-57,
9614.31,1.0,-121.89018514411896,37.7054916181133,74.96313997400021,1723997132583.0,12.0,-84,-11,-55,
9614.31,1.0,-121.89018879578391,37.70549343689624,75.07593206878927,1723997133585.0,12.0,-84,-11,-55,
9614.31,1.0,-121.8901924412045,37.70549525256904,75.18853128831987,1723997134585.0,12.0,-86,-11,-57,
9614.31,1.0,-121.89019617086862,37.70549711020097,75.30373260947518,1723997135608.0,12.0,-86,-11,-57,
9614.31,1.0,-121.89019982087012,37.70549892815539,75.41647332356428,1723997136610.0,13.0,-87,-11,-57,
9614.31,1.0,-121.89020347180109,37.70550074657273,75.5292427460348,1723997137611.0,13.0,-87,-11,-57,
9614.31,1.0,-121.89020712001832,37.70550256363848,75.6419283488526,1723997138612.0,12.0,-87,-11,-59,
9614.31,1.0,-121.89022293100068,37.70550397082905,75.64460561240216,1723997139613.0,12.0,-87,-11,-59,
9614.31,1.0,-121.89025158720648,37.705504939329046,75.53066508821003,1723997140611.0,13.0,-86,-9,-61,
9614.31,1.0,-121.89028052102654,37.70550591721163,75.41562073635463,1723997141621.0,13.0,-86,-9,-61,
9614.31,1.0,-121.89030928811044,37.705506889459,75.3012393475244,1723997142624.0,13.0,-86,-10,-51,
9614.31,1.0,-121.89033803001956,37.70550786085553,75.18695805663907,1723997143627.0,13.0,-86,-10,-51,
9614.31,1.0,-121.8903667291039,37.7055088308047,75.07284704220245,1723997144627.0,13.0,-87,-10,-59,
