technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude
4G_LTE,-87,11,-87,-9,-61,2147483647,53,66986,477,2,169732026,36626,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-103,2147483647,-103,-20,-69,2147483647,37,66986,418,2,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-95,2147483647,-95,-16,-61,2147483647,45,66986,460,2,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-83,2147483647,-83,-11,-55,2147483647,57,800,484,2,2147483647,2147483647,4,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-92,2147483647,-92,-12,-69,2147483647,48,800,80,2,2147483647,2147483647,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-115,2147483647,-115,-9,-89,2147483647,25,9820,33,2,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-113,2147483647,-113,-13,-89,2147483647,27,9820,199,2,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-93,2147483647,-93,-10,-73,2147483647,47,5330,202,2,2147483647,2147483647,3,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-96,2147483647,-96,-11,-73,2147483647,44,5330,201,2,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1723997119523,1.035639271,2024-08-18 12:05:19.523000,-121.89026505181175,37.705498454675954,74.9000015258789
4G_LTE,-85,14,-85,-9,-55,2147483647,55,66986,477,2,169732026,36626,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1723997120526,2.038842968,2024-08-18 12:05:20.526000,-121.89025808261435,37.70549683342629,74.9000015258789
