technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude
4G_LTE,-104,-4,-104,-12,-71,2147483647,36,775,233,20,194027739,34828,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-116,2147483647,-116,-20,-83,2147483647,24,775,406,20,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-110,2147483647,-110,-16,-81,2147483647,30,775,407,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-113,2147483647,-113,-17,-81,2147483647,27,775,301,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-112,2147483647,-112,-18,-81,2147483647,28,775,232,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-115,2147483647,-115,-18,-87,2147483647,25,1125,356,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-110,2147483647,-110,-15,-87,2147483647,30,1125,84,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,1125,58,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-115,2147483647,-115,-19,-87,2147483647,25,1125,242,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-111,2147483647,-111,-17,-85,2147483647,29,1125,426,20,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-111,2147483647,-111,-16,-79,2147483647,29,66985,248,20,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
4G_LTE,-109,2147483647,-109,-16,-79,2147483647,31,66985,161,20,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724011819555,1.030471302,2024-08-18 16:10:19.555000,-119.18895770873372,35.3544677791031,72.86936207014827
