technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude
4G_LTE,-92,10,-92,-13,-59,2147483647,48,9820,276,2147483647,120544661,33028,3,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",310,410,1,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-102,2147483647,-102,-20,-69,2147483647,38,9820,273,2147483647,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-103,2147483647,-103,-20,-69,2147483647,37,9820,269,2147483647,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-107,2147483647,-107,-20,-71,2147483647,33,1100,276,2147483647,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,1,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-97,2147483647,-97,-13,-71,2147483647,43,1100,273,2147483647,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-97,2147483647,-97,-17,-71,2147483647,43,1100,269,2147483647,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-98,2147483647,-98,-15,-71,2147483647,42,1100,278,2147483647,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-106,2147483647,-106,-20,-69,2147483647,34,67086,276,2147483647,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-96,2147483647,-96,-17,-69,2147483647,44,67086,273,2147483647,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
4G_LTE,-82,2147483647,-82,-9,-65,2147483647,58,2000,276,2147483647,2147483647,2147483647,4,2147483647,[4],[FDD],"Band Number = 4, Uplink = 1710.0 - 1755.0 MHz, Downlink = 1710.0 - 1755.0 MHz ",Unavailable,Unavailable,1,1724243432795,1.027900781,2024-08-21 08:30:32.795000,-108.1496274622173,36.76721981343841,1665.699951171875
