technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,campaign_name,interp_latitude,interp_longitude,interp_altitude
4G_LTE,-117,2147483647,-117,-17,-87,2147483647,23,66611,502,11,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-108,14,-108,-7,-77,2147483647,32,66611,503,11,203062807,27651,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-93,2147483647,-93,-8,-75,2147483647,47,1125,340,11,2147483647,2147483647,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-103,2147483647,-103,-18,-75,2147483647,37,1125,47,11,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-94,2147483647,-94,-8,-71,2147483647,46,67086,95,11,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-108,2147483647,-108,-20,-77,2147483647,32,67086,241,11,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-103,2147483647,-103,-19,-73,2147483647,37,9820,196,11,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-94,2147483647,-94,-11,-73,2147483647,46,9820,54,11,2147483647,2147483647,3,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724342096215,8574.870768135,2024-08-22 11:54:56.215000,-100.0464746,34.3776537,491.93097319622586,campaign_7,34.3776537,-100.0464746,491.93097319622586
4G_LTE,-117,2147483647,-117,-17,-87,2147483647,23,66611,502,11,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724342097220,8575.875491832,2024-08-22 11:54:57.220000,-100.04590264884497,34.377543060217185,491.6477230928046,campaign_7,34.377543060217185,-100.04590264884497,491.6477230928046
4G_LTE,-107,14,-107,-7,-77,2147483647,33,66611,503,11,203062807,27651,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724342097220,8575.875491832,2024-08-22 11:54:57.220000,-100.04590264884497,34.377543060217185,491.6477230928046,campaign_7,34.377543060217185,-100.04590264884497,491.6477230928046
