GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,rpopden,TimeFrame,GeoVintage,Source,Location
Census Tract,5001480100,AR,5001480100,"=""05001480100""",4.12,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480200,AR,5001480200,"=""05001480200""",5.5,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480300,AR,5001480300,"=""05001480300""",181.5,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480400,AR,5001480400,"=""05001480400""",86.67,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480500,AR,5001480500,"=""05001480500""",672.15,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480600,AR,5001480600,"=""05001480600""",32.91,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480700,AR,5001480700,"=""05001480700""",48.07,2019-2023,2022,Census,Arkansas (State)
Census Tract,5001480800,AR,5001480800,"=""05001480800""",3.59,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960100,AR,5003960100,"=""05003960100""",4.01,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960200,AR,5003960200,"=""05003960200""",16.64,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960300,AR,5003960300,"=""05003960300""",53.23,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960400,AR,5003960400,"=""05003960400""",4.76,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960500,AR,5003960500,"=""05003960500""",232.95,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960600,AR,5003960600,"=""05003960600""",220.33,2019-2023,2022,Census,Arkansas (State)
Census Tract,5003960700,AR,5003960700,"=""05003960700""",28.65,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950100,AR,5005950100,"=""05005950100""",426.57,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950200,AR,5005950200,"=""05005950200""",596.88,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950300,AR,5005950300,"=""05005950300""",641.16,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950400,AR,5005950400,"=""05005950400""",332.93,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950500,AR,5005950500,"=""05005950500""",22.07,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950600,AR,5005950600,"=""05005950600""",58.76,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950700,AR,5005950700,"=""05005950700""",57.86,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950801,AR,5005950801,"=""05005950801""",69.36,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950802,AR,5005950802,"=""05005950802""",42.36,2019-2023,2022,Census,Arkansas (State)
Census Tract,5005950900,AR,5005950900,"=""05005950900""",129.66,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020102,AR,5007020102,"=""05007020102""",335.64,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020103,AR,5007020103,"=""05007020103""",285.73,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020104,AR,5007020104,"=""05007020104""",64.38,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020201,AR,5007020201,"=""05007020201""",874.6,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020203,AR,5007020203,"=""05007020203""",535.32,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020205,AR,5007020205,"=""05007020205""",1071.25,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020206,AR,5007020206,"=""05007020206""",2725.61,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020301,AR,5007020301,"=""05007020301""",2424.17,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020302,AR,5007020302,"=""05007020302""",3577.55,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020304,AR,5007020304,"=""05007020304""",1916.26,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020305,AR,5007020305,"=""05007020305""",2124.35,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020401,AR,5007020401,"=""05007020401""",1934.81,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020402,AR,5007020402,"=""05007020402""",4353.12,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020404,AR,5007020404,"=""05007020404""",2679.69,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020405,AR,5007020405,"=""05007020405""",1102.73,2019-2023,2022,Census,Arkansas (State)
Census Tract,5007020501,AR,5007020501,"=""05007020501""",959.52,2019-2023,2022,Census,Arkansas (State)
