GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,rpopden,TimeFrame,GeoVintage,Source,Location
Census Tract,35001000107,NM,35001000107,"=""35001000107""",2183.23,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000108,NM,35001000108,"=""35001000108""",5216.35,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000109,NM,35001000109,"=""35001000109""",5027.07,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000110,NM,35001000110,"=""35001000110""",6943.33,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000111,NM,35001000111,"=""35001000111""",6138.01,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000112,NM,35001000112,"=""35001000112""",2236.28,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000113,NM,35001000113,"=""35001000113""",6318.73,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000114,NM,35001000114,"=""35001000114""",5594.8,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000115,NM,35001000115,"=""35001000115""",6875.77,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000116,NM,35001000116,"=""35001000116""",5415.6,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000117,NM,35001000117,"=""35001000117""",4145.6,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000118,NM,35001000118,"=""35001000118""",5373.97,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000119,NM,35001000119,"=""35001000119""",3797.7,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000120,NM,35001000120,"=""35001000120""",4699.03,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000121,NM,35001000121,"=""35001000121""",5419.74,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000122,NM,35001000122,"=""35001000122""",4605.07,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000123,NM,35001000123,"=""35001000123""",4824.69,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000124,NM,35001000124,"=""35001000124""",5815.12,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000125,NM,35001000125,"=""35001000125""",4356.33,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000126,NM,35001000126,"=""35001000126""",4681.25,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000127,NM,35001000127,"=""35001000127""",5464.77,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000128,NM,35001000128,"=""35001000128""",6981.46,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000129,NM,35001000129,"=""35001000129""",9776.99,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000203,NM,35001000203,"=""35001000203""",4963.82,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000204,NM,35001000204,"=""35001000204""",5945.21,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000205,NM,35001000205,"=""35001000205""",6261.27,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000206,NM,35001000206,"=""35001000206""",5953.04,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000207,NM,35001000207,"=""35001000207""",2992.35,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000208,NM,35001000208,"=""35001000208""",3219.1,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000300,NM,35001000300,"=""35001000300""",4356.14,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000401,NM,35001000401,"=""35001000401""",4690.99,2019-2023,2022,Census,New Mexico (State)
Census Tract,35001000402,NM,35001000402,"=""35001000402""",4656.71,2019-2023,2022,Census,New Mexico (State)
