"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","47001020100","TN","47001020100","=""47001020100""","595.36","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020201","TN","47001020201","=""47001020201""","512.95","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020202","TN","47001020202","=""47001020202""","1293.36","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020300","TN","47001020300","=""47001020300""","2260.52","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020400","TN","47001020400","=""47001020400""","1142.65","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020500","TN","47001020500","=""47001020500""","2187.93","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020600","TN","47001020600","=""47001020600""","1621.16","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020700","TN","47001020700","=""47001020700""","16.14","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020800","TN","47001020800","=""47001020800""","326.95","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020901","TN","47001020901","=""47001020901""","153.11","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001020902","TN","47001020902","=""47001020902""","181.08","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021001","TN","47001021001","=""47001021001""","64.60","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021002","TN","47001021002","=""47001021002""","555.45","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021100","TN","47001021100","=""47001021100""","434.55","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021201","TN","47001021201","=""47001021201""","244.13","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021202","TN","47001021202","=""47001021202""","1326.50","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021301","TN","47001021301","=""47001021301""","312.54","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021303","TN","47001021303","=""47001021303""","360.21","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001021304","TN","47001021304","=""47001021304""","372.37","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47001980100","TN","47001980100","=""47001980100""","0.00","2019-2023","2022","Census","Tennessee (State)"
