GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,rpopden,TimeFrame,GeoVintage,Source,Location
Census Tract,48001950100,TX,48001950100,"=""48001950100""",28.72,2019-2023,2022,Census,Texas (State)
Census Tract,48001950401,TX,48001950401,"=""48001950401""",658.27,2019-2023,2022,Census,Texas (State)
Census Tract,48001950402,TX,48001950402,"=""48001950402""",212.92,2019-2023,2022,Census,Texas (State)
Census Tract,48001950500,TX,48001950500,"=""48001950500""",508.77,2019-2023,2022,Census,Texas (State)
Census Tract,48001950600,TX,48001950600,"=""48001950600""",663.61,2019-2023,2022,Census,Texas (State)
Census Tract,48001950700,TX,48001950700,"=""48001950700""",906.37,2019-2023,2022,Census,Texas (State)
Census Tract,48001950800,TX,48001950800,"=""48001950800""",1582.89,2019-2023,2022,Census,Texas (State)
Census Tract,48001950901,TX,48001950901,"=""48001950901""",48.81,2019-2023,2022,Census,Texas (State)
Census Tract,48001950902,TX,48001950902,"=""48001950902""",32.53,2019-2023,2022,Census,Texas (State)
Census Tract,48001951001,TX,48001951001,"=""48001951001""",32.78,2019-2023,2022,Census,Texas (State)
Census Tract,48001951002,TX,48001951002,"=""48001951002""",36.42,2019-2023,2022,Census,Texas (State)
Census Tract,48001951100,TX,48001951100,"=""48001951100""",15.68,2019-2023,2022,Census,Texas (State)
Census Tract,48003950100,TX,48003950100,"=""48003950100""",2.48,2019-2023,2022,Census,Texas (State)
Census Tract,48003950200,TX,48003950200,"=""48003950200""",3862.71,2019-2023,2022,Census,Texas (State)
Census Tract,48003950300,TX,48003950300,"=""48003950300""",2295.6,2019-2023,2022,Census,Texas (State)
Census Tract,48003950400,TX,48003950400,"=""48003950400""",7.82,2019-2023,2022,Census,Texas (State)
Census Tract,48005000102,TX,48005000102,"=""48005000102""",90.21,2019-2023,2022,Census,Texas (State)
Census Tract,48005000103,TX,48005000103,"=""48005000103""",68.33,2019-2023,2022,Census,Texas (State)
Census Tract,48005000104,TX,48005000104,"=""48005000104""",61.56,2019-2023,2022,Census,Texas (State)
Census Tract,48005000201,TX,48005000201,"=""48005000201""",176.06,2019-2023,2022,Census,Texas (State)
Census Tract,48005000202,TX,48005000202,"=""48005000202""",93.66,2019-2023,2022,Census,Texas (State)
Census Tract,48005000301,TX,48005000301,"=""48005000301""",343.09,2019-2023,2022,Census,Texas (State)
Census Tract,48005000302,TX,48005000302,"=""48005000302""",251.55,2019-2023,2022,Census,Texas (State)
Census Tract,48005000400,TX,48005000400,"=""48005000400""",1054.73,2019-2023,2022,Census,Texas (State)
Census Tract,48005000500,TX,48005000500,"=""48005000500""",592.89,2019-2023,2022,Census,Texas (State)
Census Tract,48005000600,TX,48005000600,"=""48005000600""",1081.07,2019-2023,2022,Census,Texas (State)
Census Tract,48005000700,TX,48005000700,"=""48005000700""",3115.11,2019-2023,2022,Census,Texas (State)
Census Tract,48005000800,TX,48005000800,"=""48005000800""",804.95,2019-2023,2022,Census,Texas (State)
Census Tract,48005000902,TX,48005000902,"=""48005000902""",928.15,2019-2023,2022,Census,Texas (State)
Census Tract,48005000903,TX,48005000903,"=""48005000903""",1472.22,2019-2023,2022,Census,Texas (State)
Census Tract,48005000904,TX,48005000904,"=""48005000904""",1792.52,2019-2023,2022,Census,Texas (State)
Census Tract,48005001001,TX,48005001001,"=""48005001001""",164.1,2019-2023,2022,Census,Texas (State)
Census Tract,48005001002,TX,48005001002,"=""48005001002""",47.42,2019-2023,2022,Census,Texas (State)
Census Tract,48005001101,TX,48005001101,"=""48005001101""",125.35,2019-2023,2022,Census,Texas (State)
Census Tract,48005001102,TX,48005001102,"=""48005001102""",48.89,2019-2023,2022,Census,Texas (State)
Census Tract,48005001200,TX,48005001200,"=""48005001200""",15.97,2019-2023,2022,Census,Texas (State)
Census Tract,48005001300,TX,48005001300,"=""48005001300""",35.44,2019-2023,2022,Census,Texas (State)
Census Tract,48007950101,TX,48007950101,"=""48007950101""",9.36,2019-2023,2022,Census,Texas (State)
Census Tract,48007950102,TX,48007950102,"=""48007950102""",420.21,2019-2023,2022,Census,Texas (State)
Census Tract,48007950103,TX,48007950103,"=""48007950103""",447.48,2019-2023,2022,Census,Texas (State)
Census Tract,48007950200,TX,48007950200,"=""48007950200""",1036.59,2019-2023,2022,Census,Texas (State)
Census Tract,48007950301,TX,48007950301,"=""48007950301""",868.03,2019-2023,2022,Census,Texas (State)
Census Tract,48007950302,TX,48007950302,"=""48007950302""",1373.28,2019-2023,2022,Census,Texas (State)
Census Tract,48007950400,TX,48007950400,"=""48007950400""",1531.93,2019-2023,2022,Census,Texas (State)
Census Tract,48007950501,TX,48007950501,"=""48007950501""",51.96,2019-2023,2022,Census,Texas (State)
Census Tract,48007950502,TX,48007950502,"=""48007950502""",377.46,2019-2023,2022,Census,Texas (State)
Census Tract,48007950503,TX,48007950503,"=""48007950503""",277.65,2019-2023,2022,Census,Texas (State)
Census Tract,48007990000,TX,48007990000,"=""48007990000""",N/A,2019-2023,2022,Census,Texas (State)
Census Tract,48009020100,TX,48009020100,"=""48009020100""",42.74,2019-2023,2022,Census,Texas (State)
Census Tract,48009020200,TX,48009020200,"=""48009020200""",4.98,2019-2023,2022,Census,Texas (State)
Census Tract,48009020300,TX,48009020300,"=""48009020300""",10,2019-2023,2022,Census,Texas (State)
Census Tract,48011950100,TX,48011950100,"=""48011950100""",2.07,2019-2023,2022,Census,Texas (State)
Census Tract,48013960101,TX,48013960101,"=""48013960101""",52.05,2019-2023,2022,Census,Texas (State)
Census Tract,48013960102,TX,48013960102,"=""48013960102""",13.75,2019-2023,2022,Census,Texas (State)
Census Tract,48013960203,TX,48013960203,"=""48013960203""",311.37,2019-2023,2022,Census,Texas (State)
Census Tract,48013960204,TX,48013960204,"=""48013960204""",44.45,2019-2023,2022,Census,Texas (State)
Census Tract,48013960205,TX,48013960205,"=""48013960205""",84.46,2019-2023,2022,Census,Texas (State)
Census Tract,48013960206,TX,48013960206,"=""48013960206""",132.59,2019-2023,2022,Census,Texas (State)
Census Tract,48013960300,TX,48013960300,"=""48013960300""",365.53,2019-2023,2022,Census,Texas (State)
Census Tract,48013960401,TX,48013960401,"=""48013960401""",125.79,2019-2023,2022,Census,Texas (State)
Census Tract,48013960403,TX,48013960403,"=""48013960403""",866,2019-2023,2022,Census,Texas (State)
Census Tract,48013960404,TX,48013960404,"=""48013960404""",248.05,2019-2023,2022,Census,Texas (State)
Census Tract,48013960500,TX,48013960500,"=""48013960500""",9.45,2019-2023,2022,Census,Texas (State)
Census Tract,48013960601,TX,48013960601,"=""48013960601""",48.33,2019-2023,2022,Census,Texas (State)
Census Tract,48013960602,TX,48013960602,"=""48013960602""",15.52,2019-2023,2022,Census,Texas (State)
Census Tract,48015760100,TX,48015760100,"=""48015760100""",34.47,2019-2023,2022,Census,Texas (State)
Census Tract,48015760201,TX,48015760201,"=""48015760201""",85.34,2019-2023,2022,Census,Texas (State)
Census Tract,48015760202,TX,48015760202,"=""48015760202""",132.45,2019-2023,2022,Census,Texas (State)
Census Tract,48015760301,TX,48015760301,"=""48015760301""",73.43,2019-2023,2022,Census,Texas (State)
Census Tract,48015760302,TX,48015760302,"=""48015760302""",56.58,2019-2023,2022,Census,Texas (State)
Census Tract,48015760400,TX,48015760400,"=""48015760400""",17.41,2019-2023,2022,Census,Texas (State)
Census Tract,48015760501,TX,48015760501,"=""48015760501""",37.63,2019-2023,2022,Census,Texas (State)
Census Tract,48015760502,TX,48015760502,"=""48015760502""",73.42,2019-2023,2022,Census,Texas (State)
Census Tract,48017950101,TX,48017950101,"=""48017950101""",257.07,2019-2023,2022,Census,Texas (State)
Census Tract,48017950102,TX,48017950102,"=""48017950102""",3.38,2019-2023,2022,Census,Texas (State)
Census Tract,48019000101,TX,48019000101,"=""48019000101""",51.6,2019-2023,2022,Census,Texas (State)
Census Tract,48019000103,TX,48019000103,"=""48019000103""",40.86,2019-2023,2022,Census,Texas (State)
Census Tract,48019000104,TX,48019000104,"=""48019000104""",40.39,2019-2023,2022,Census,Texas (State)
Census Tract,48019000200,TX,48019000200,"=""48019000200""",5.36,2019-2023,2022,Census,Texas (State)
Census Tract,48019000301,TX,48019000301,"=""48019000301""",97.4,2019-2023,2022,Census,Texas (State)
Census Tract,48019000302,TX,48019000302,"=""48019000302""",62.45,2019-2023,2022,Census,Texas (State)
Census Tract,48019000400,TX,48019000400,"=""48019000400""",288.82,2019-2023,2022,Census,Texas (State)
Census Tract,48021950101,TX,48021950101,"=""48021950101""",82.92,2019-2023,2022,Census,Texas (State)
Census Tract,48021950102,TX,48021950102,"=""48021950102""",70.79,2019-2023,2022,Census,Texas (State)
Census Tract,48021950201,TX,48021950201,"=""48021950201""",682.93,2019-2023,2022,Census,Texas (State)
Census Tract,48021950202,TX,48021950202,"=""48021950202""",742.98,2019-2023,2022,Census,Texas (State)
Census Tract,48021950301,TX,48021950301,"=""48021950301""",166.26,2019-2023,2022,Census,Texas (State)
Census Tract,48021950302,TX,48021950302,"=""48021950302""",95.18,2019-2023,2022,Census,Texas (State)
Census Tract,48021950303,TX,48021950303,"=""48021950303""",188.33,2019-2023,2022,Census,Texas (State)
