GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,rpopden,TimeFrame,GeoVintage,Source,Location
Census Tract,37001020100,NC,37001020100,"=""37001020100""",2512.09,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020200,NC,37001020200,"=""37001020200""",3262.24,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020301,NC,37001020301,"=""37001020301""",2244.14,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020302,NC,37001020302,"=""37001020302""",1325.56,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020400,NC,37001020400,"=""37001020400""",1636.48,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020501,NC,37001020501,"=""37001020501""",1416.16,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020502,NC,37001020502,"=""37001020502""",1978.26,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020601,NC,37001020601,"=""37001020601""",1525.77,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020602,NC,37001020602,"=""37001020602""",2466.74,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020701,NC,37001020701,"=""37001020701""",2091.61,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020702,NC,37001020702,"=""37001020702""",1846.36,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020801,NC,37001020801,"=""37001020801""",449.94,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020802,NC,37001020802,"=""37001020802""",3025.04,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020901,NC,37001020901,"=""37001020901""",1374.36,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001020902,NC,37001020902,"=""37001020902""",1161.31,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021000,NC,37001021000,"=""37001021000""",3670.7,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021101,NC,37001021101,"=""37001021101""",1241.17,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021102,NC,37001021102,"=""37001021102""",791.88,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021201,NC,37001021201,"=""37001021201""",463.26,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021204,NC,37001021204,"=""37001021204""",426.66,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021205,NC,37001021205,"=""37001021205""",1769.36,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021206,NC,37001021206,"=""37001021206""",1145.12,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021207,NC,37001021207,"=""37001021207""",796.32,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021300,NC,37001021300,"=""37001021300""",115.25,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021400,NC,37001021400,"=""37001021400""",103.82,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021500,NC,37001021500,"=""37001021500""",128.26,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021600,NC,37001021600,"=""37001021600""",647.53,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021701,NC,37001021701,"=""37001021701""",2157.19,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021702,NC,37001021702,"=""37001021702""",3047.13,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021703,NC,37001021703,"=""37001021703""",876.23,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021801,NC,37001021801,"=""37001021801""",156.02,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021802,NC,37001021802,"=""37001021802""",135.81,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021803,NC,37001021803,"=""37001021803""",84.1,2019-2023,2022,Census,North Carolina (State)
Census Tract,37001021901,NC,37001021901,"=""37001021901""",222.95,2019-2023,2022,Census,North Carolina (State)
