"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","chu","TimeFrame","GeoVintage","Source","Location"
"Census Tract","35001000107","NM","35001000107","=""35001000107""","1339","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000108","NM","35001000108","=""35001000108""","1365","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000109","NM","35001000109","=""35001000109""","1115","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000110","NM","35001000110","=""35001000110""","2054","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000111","NM","35001000111","=""35001000111""","1138","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000112","NM","35001000112","=""35001000112""","947","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000113","NM","35001000113","=""35001000113""","1582","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000114","NM","35001000114","=""35001000114""","1314","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000115","NM","35001000115","=""35001000115""","1806","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000116","NM","35001000116","=""35001000116""","1452","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000117","NM","35001000117","=""35001000117""","1142","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000118","NM","35001000118","=""35001000118""","1210","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000119","NM","35001000119","=""35001000119""","731","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000120","NM","35001000120","=""35001000120""","1116","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000121","NM","35001000121","=""35001000121""","2553","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000122","NM","35001000122","=""35001000122""","2187","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000123","NM","35001000123","=""35001000123""","2041","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000124","NM","35001000124","=""35001000124""","2628","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000125","NM","35001000125","=""35001000125""","1738","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000126","NM","35001000126","=""35001000126""","1411","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000127","NM","35001000127","=""35001000127""","1154","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000128","NM","35001000128","=""35001000128""","1376","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000129","NM","35001000129","=""35001000129""","2473","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000203","NM","35001000203","=""35001000203""","1050","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000204","NM","35001000204","=""35001000204""","1598","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000205","NM","35001000205","=""35001000205""","1659","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000206","NM","35001000206","=""35001000206""","1339","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000207","NM","35001000207","=""35001000207""","1426","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000208","NM","35001000208","=""35001000208""","1436","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000300","NM","35001000300","=""35001000300""","3021","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000401","NM","35001000401","=""35001000401""","2086","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000402","NM","35001000402","=""35001000402""","1641","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000501","NM","35001000501","=""35001000501""","1650","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000503","NM","35001000503","=""35001000503""","2096","2019-2023","2022","Census","New Mexico (State)"
