start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(np.float64(33.1606926), np.float64(-95.1234758), np.float64(96.1226439039745))","(np.float64(33.1601187), np.float64(-95.1105764), np.float64(105.829538393172))",48449950200,1.9797453279649204,48449950200,42.7,7,382
"(np.float64(33.1601187), np.float64(-95.1105764), np.float64(105.829538393172))","(np.float64(33.1599657), np.float64(-95.1018683), np.float64(95.9426006105505))",48449950200,0.8668010285034147,48449950200,42.7,7,153
"(np.float64(33.1599657), np.float64(-95.1018683), np.float64(95.9426006105505))","(np.float64(33.158826100459144), np.float64(-95.0560289056736), np.float64(97.08131205881035))",48449950200,5.281919447965477,48449950200,42.7,7,212
"(np.float64(33.158826100459144), np.float64(-95.0560289056736), np.float64(97.08131205881035))","(np.float64(33.1583895), np.float64(-95.0436438), np.float64(93.1176263493698))",48449950200,1.4256937253290936,48449950200,42.7,7,370
"(np.float64(33.175238), np.float64(-94.9815905), np.float64(107.381219125947))","(np.float64(33.1765843), np.float64(-94.9774314), np.float64(101.549654922675))",48449950600,0.4633574410843573,48449950600,1896.42,7,496
"(np.float64(33.1765843), np.float64(-94.9774314), np.float64(101.549654922675))","(np.float64(33.17678180559006), np.float64(-94.97679152091098), np.float64(101.35562754968257))",48449950600,0.15886271146507286,48449950600,1896.42,7,174
"(np.float64(33.17678180559006), np.float64(-94.97679152091098), np.float64(101.35562754968257))","(np.float64(33.1778395), np.float64(-94.9733648), np.float64(100.316559907473))",48449950600,0.5106923813453088,48449950600,1896.42,7,381
"(np.float64(33.1815459), np.float64(-94.9611547), np.float64(85.2879659784609))","(np.float64(33.1909459), np.float64(-94.9373095), np.float64(88.8458892474902))",48449950301,2.7854077965753556,48449950301,67.07,7,174
"(np.float64(33.1909459), np.float64(-94.9373095), np.float64(88.8458892474902))","(np.float64(33.195314077756585), np.float64(-94.92662304507424), np.float64(92.07641762094596))",48449950301,1.5426300394375827,48449950301,67.07,7,494
"(np.float64(33.195314077756585), np.float64(-94.92662304507424), np.float64(92.07641762094596))","(np.float64(33.195324225535984), np.float64(-94.92659809778208), np.float64(92.06662318948028))",48449950301,0.04469424051315325,48449950301,67.07,7,344
"(np.float64(33.2001812), np.float64(-94.9152603), np.float64(88.9774342036045))","(np.float64(33.2025591), np.float64(-94.9114951), np.float64(91.3319400628165))",48449950400,0.4391044444510969,48449950400,50.09,7,263
"(np.float64(33.2025591), np.float64(-94.9114951), np.float64(91.3319400628165))","(np.float64(33.2025591), np.float64(-94.9114951), np.float64(91.3319400628165))",48449950400,0.0,48449950400,50.09,7,426
"(np.float64(33.2025591), np.float64(-94.9114951), np.float64(91.3319400628165))","(np.float64(33.2050969), np.float64(-94.9082204), np.float64(94.964031785462))",48449950400,0.4152868205139641,48449950400,50.09,7,263
"(np.float64(33.2050969), np.float64(-94.9082204), np.float64(94.964031785462))","(np.float64(33.2077976), np.float64(-94.9054052), np.float64(98.4982838905949))",48449950400,0.4412016978220344,48449950400,50.09,7,177
"(np.float64(33.2077976), np.float64(-94.9054052), np.float64(98.4982838905949))","(np.float64(33.216665103155805), np.float64(-94.89653240458188), np.float64(98.11459859155424))",48449950400,1.6397552712700039,48449950400,50.09,7,263
"(np.float64(33.216665103155805), np.float64(-94.89653240458188), np.float64(98.11459859155424))","(np.float64(33.219657944819616), np.float64(-94.89376569492605), np.float64(90.91028974497736))",48449950400,0.5160039555629787,48449950400,50.09,7,500
"(np.float64(33.219657944819616), np.float64(-94.89376569492605), np.float64(90.91028974497736))","(np.float64(33.2221844), np.float64(-94.8914655), np.float64(85.6570134646217))",48449950400,0.5725255442753243,48449950400,50.09,7,177
"(np.float64(33.2221844), np.float64(-94.8914655), np.float64(85.6570134646217))","(np.float64(33.2221844), np.float64(-94.8914655), np.float64(85.6570134646217))",48449950400,0.0,48449950400,50.09,7,158
"(np.float64(33.2221844), np.float64(-94.8914655), np.float64(85.6570134646217))","(np.float64(33.231664404466656), np.float64(-94.88165787661308), np.float64(87.83617685530469))",48449950400,1.5699196912411377,48449950400,50.09,7,263
"(np.float64(33.231664404466656), np.float64(-94.88165787661308), np.float64(87.83617685530469))","(np.float64(33.2371507), np.float64(-94.872416), np.float64(96.7194283919866))",48449950400,1.689899177224522,48449950400,50.09,7,208
"(np.float64(33.2371507), np.float64(-94.872416), np.float64(96.7194283919866))","(np.float64(33.243645), np.float64(-94.8613301), np.float64(89.7839033867216))",48449950400,1.9082046987376944,48449950400,50.09,7,79
"(np.float64(33.243645), np.float64(-94.8613301), np.float64(89.7839033867216))","(np.float64(33.25431006309893), np.float64(-94.84289538573732), np.float64(69.29601230275482))",48449950400,2.6532986627411566,48449950400,50.09,7,347
"(np.float64(33.25431006309893), np.float64(-94.84289538573732), np.float64(69.29601230275482))","(np.float64(33.2623702), np.float64(-94.8290815), np.float64(65.1962899233388))",48449950400,2.8103341497879955,48449950400,50.09,7,374
