technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,num_seen_cells,cell_tower_distance
4G_LTE,-114,2147483647,-114,-14,-89,2147483647,26,775,382,168,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724695995643,20989.712097514,2024-08-26 14:13:15.643000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,3.0,
4G_LTE,-128,2147483647,-128,-19,-97,2147483647,12,9820,428,168,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724695995643,20989.712097514,2024-08-26 14:13:15.643000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,3.0,
4G_LTE,-112,2147483647,-112,-14,-81,2147483647,28,775,293,168,197716156,9891,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724695995643,20989.712097514,2024-08-26 14:13:15.643000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,3.0,
4G_LTE,-112,2147483647,-112,-14,-81,2147483647,28,775,293,168,197716156,9891,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7773470297335,35.709055015692066,331.1074434512025,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-14,-89,2147483647,26,775,382,168,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-128,2147483647,-128,-19,-97,2147483647,12,9820,428,168,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-126,2147483647,-126,-14,-101,2147483647,14,9820,293,168,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-115,2147483647,-115,-11,-95,2147483647,25,67086,293,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-114,2147483647,-114,-11,-93,2147483647,26,67086,91,168,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
4G_LTE,-120,2147483647,-120,-20,-91,2147483647,20,67086,197,168,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724695996642,20990.711269545,2024-08-26 14:13:16.642000,-81.7777895,35.7088314,332.428511340339,370230203032000,NC,37023020303,37161336,370230203032000,32754,37023,Burke County,319.49,2,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,6.0,
