ci,mcc,mnc,tac,lat,lon,range
92403215,310,410,33795,36.918923,-113.865481,1114.0
92403215,310,410,33795,36.918923,-113.865481,1114.0
116537772,310,410,39177,37.046857,-113.586546,4991.0
116537616,310,410,39177,36.976625,-113.675427,2892.0
116537105,310,410,39177,36.982024,-113.666405,5115.0
116537361,310,410,39177,36.98111,-113.658128,9138.0
116537529,310,410,39177,37.013754,-113.566197,6348.0
116537784,310,410,39177,37.036579,-113.597738,5885.0
116569360,310,410,39177,36.966141,-113.740471,11698.0
116568841,310,410,39177,36.875858,-113.954575,1000.0
116569616,310,410,39177,36.901993,-113.923824,2150.0
116537098,310,410,39177,37.011317,-113.615463,1354.0
116536587,310,410,39177,-1.0,-1.0,-1.0
116537096,310,410,39177,-1.0,-1.0,-1.0
116537609,310,410,39177,37.007962,-113.6219,11749.0
116537610,310,410,39177,37.092924,-113.586251,6933.0
115206409,310,410,39177,37.077713,-113.582794,1000.0
115206408,310,410,39177,-1.0,-1.0,-1.0
116551952,310,410,39177,37.087375,-113.572276,8442.0
116551944,310,410,39177,37.093056,-113.580973,3983.0
116570121,310,410,39177,37.099701,-113.566516,5104.0
116570120,310,410,39177,37.120993,-113.537103,5661.0
116537866,310,410,39177,37.164748,-113.384926,1000.0
116570378,310,410,39177,37.131279,-113.52132,2390.0
116570376,310,410,39177,37.132853,-113.520335,5431.0
116537864,310,410,39177,37.145855,-113.490043,10345.0
116506632,310,410,39177,37.151463,-113.47978,6448.0
116570634,310,410,39177,37.243171,-113.287755,5122.0
116570632,310,410,39177,37.206428,-113.382126,21607.0
116538122,310,410,39177,37.147564,-113.461685,17363.0
116538121,310,410,39177,37.169317,-113.363737,4943.0
116510986,310,410,39177,37.165289,-113.376976,18747.0
116569609,310,410,39177,37.103876,-113.610474,5416.0
116507543,310,410,39177,37.176845,-113.322095,3831.0
116507542,310,410,39177,37.174537,-113.307811,5892.0
116507408,310,410,39177,37.174478,-113.306819,1000.0
116507575,310,410,39177,37.182247,-113.281246,1295.0
116507832,310,410,39177,37.19812,-113.274765,1287.0
116571152,310,410,39177,37.156897,-113.251126,10454.0
116507152,310,410,39177,37.204603,-113.25197,6429.0
116572431,310,410,39177,37.213315,-113.239467,9004.0
116538383,310,410,39177,37.21555,-113.332293,8206.0
116572424,310,410,39177,37.144272,-113.253578,1000.0
116565009,310,410,39177,37.123466,-113.190367,6062.0
116565008,310,410,39177,37.071342,-113.104546,1000.0
120545545,310,410,33025,35.061319,-106.19155,2015.0
120386570,310,410,33025,-1.0,-1.0,-1.0
120767242,310,410,27909,35.009295,-106.062775,11061.0
120802058,310,410,27909,35.00904,-105.693262,11835.0
120767240,310,410,27909,35.005517,-106.0206,24642.0
120767241,310,410,27909,35.004761,-105.981712,28561.0
120775953,310,410,27909,35.004243,-105.889792,30466.0
120775952,310,410,27909,35.005689,-105.775217,16041.0
120802065,310,410,27909,35.007016,-105.76525,45155.0
120386832,310,410,33025,35.102736,-105.716854,1000.0
120386826,310,410,33025,35.085327,-105.707171,1997.0
120802056,310,410,27909,35.015328,-105.669823,5235.0
120802057,310,410,27909,35.005339,-105.613071,4825.0
120785674,310,410,27909,35.004856,-105.525284,6044.0
120785681,310,410,27909,35.003201,-105.559377,24600.0
120785672,310,410,27909,35.003506,-105.503558,27646.0
120785673,310,410,27909,34.994969,-105.367626,3752.0
120802314,310,410,27909,34.989112,-105.246487,12109.0
120802312,310,410,27909,34.987046,-105.204174,17727.0
120802313,310,410,27909,34.984071,-105.144495,4717.0
120763914,310,410,27909,34.976775,-104.999487,12626.0
120802320,310,410,27909,34.979781,-105.057343,22425.0
120763914,310,410,27909,34.976775,-104.999487,12626.0
120763913,310,410,27909,34.973016,-104.925764,3607.0
120802313,310,410,27909,34.984071,-105.144495,4717.0
120772362,310,410,27909,34.969047,-104.81301,4824.0
120772360,310,410,27909,34.967881,-104.783024,10003.0
120772361,310,410,27909,34.956641,-104.727042,17192.0
120772106,310,410,27909,34.957772,-104.735629,4377.0
120772105,310,410,27909,34.949128,-104.636042,32500.0
120758538,310,410,27909,35.007911,-104.509492,4217.0
120758536,310,410,27909,35.011385,-104.482119,1361.0
120758537,310,410,27909,35.043004,-104.385315,8926.0
120768017,310,410,27909,35.051953,-104.343896,6446.0
120765457,310,410,27909,35.065855,-104.251955,10185.0
120765450,310,410,27909,35.065935,-104.256997,8695.0
120768016,310,410,27909,35.08975,-104.085329,11011.0
120768009,310,410,27909,35.068358,-104.237818,11320.0
120804625,310,410,27909,35.081869,-104.116079,5536.0
120804632,310,410,27909,35.112277,-104.005794,31019.0
120804630,310,410,27909,35.125014,-103.938916,5025.0
120804631,310,410,27909,35.119053,-103.882802,5793.0
120774424,310,410,27909,35.132396,-103.820517,11052.0
120774417,310,410,27909,35.126981,-103.850706,23787.0
120804624,310,410,27909,35.126915,-103.85573,4279.0
120774168,310,410,27909,35.149154,-103.778308,11030.0
120774161,310,410,27909,35.145092,-103.798687,19536.0
120774154,310,410,27909,35.144737,-103.783035,12089.0
120774154,310,410,27909,35.144737,-103.783035,12089.0
120774153,310,410,27909,35.160219,-103.695615,10790.0
120774415,310,410,27909,35.199589,-103.598648,26059.0
120774408,310,410,27909,35.171448,-103.661599,9218.0
120770251,310,410,27909,35.171916,-103.528263,17334.0
