start_gps,end_gps,start_census_tract_id,association_length,end_census_tract_id,population_density,rucc,associated_pci
"(np.float64(36.973839), np.float64(-113.6996882), np.float64(745.956079495475))","(np.float64(36.97278521386861), np.float64(-113.68772783649636), np.float64(764.3353061985209))",4015950101.0,1.7082512462046133,4015950101.0,0.77,3.0,31
"(np.float64(36.97278521386861), np.float64(-113.68772783649636), np.float64(764.3353061985209))","(np.float64(36.9751229), np.float64(-113.682604), np.float64(773.959544306432))",4015950101.0,0.6017581495074775,4015950101.0,0.77,3.0,63
"(np.float64(36.9751229), np.float64(-113.682604), np.float64(773.959544306432))","(np.float64(36.97537647199302), np.float64(-113.68154070020404), np.float64(773.4863001178809))",4015950101.0,0.16826466050222827,4015950101.0,0.77,3.0,31
"(np.float64(36.97537647199302), np.float64(-113.68154070020404), np.float64(773.4863001178809))","(np.float64(36.97617719187633), np.float64(-113.67836655945362), np.float64(773.1417043407955))",4015950101.0,0.9064794893685139,4015950101.0,0.77,3.0,424
"(np.float64(36.97617719187633), np.float64(-113.67836655945362), np.float64(773.1417043407955))","(np.float64(36.97939767272387), np.float64(-113.67186743708255), np.float64(787.6571609948081))",4015950101.0,1.1477157860022889,4015950101.0,0.77,3.0,63
"(np.float64(36.97939767272387), np.float64(-113.67186743708255), np.float64(787.6571609948081))","(np.float64(36.979964675555294), np.float64(-113.65155953507492), np.float64(805.1647226399541))",4015950101.0,4.274484464395031,4015950101.0,0.77,3.0,424
"(np.float64(36.979964675555294), np.float64(-113.65155953507492), np.float64(805.1647226399541))","(np.float64(36.980881559815096), np.float64(-113.6476912251792), np.float64(804.0836964433527))",4015950101.0,0.48715143800783034,4015950101.0,0.77,3.0,31
"(np.float64(36.980881559815096), np.float64(-113.6476912251792), np.float64(804.0836964433527))","(np.float64(36.9808178), np.float64(-113.6478918), np.float64(804.05029821156))",4015950101.0,0.17544652974030214,4015950101.0,0.77,3.0,424
"(np.float64(36.9808178), np.float64(-113.6478918), np.float64(804.05029821156))","(np.float64(36.98356210068195), np.float64(-113.6399915997971), np.float64(805.7946213196682))",4015950101.0,0.8100311367682915,4015950101.0,0.77,3.0,31
"(np.float64(36.98356210068195), np.float64(-113.6399915997971), np.float64(805.7946213196682))","(np.float64(36.9880185), np.float64(-113.6290847), np.float64(803.41374166949))",4015950101.0,1.9019521985805292,4015950101.0,0.77,3.0,424
"(np.float64(36.9880185), np.float64(-113.6290847), np.float64(803.41374166949))","(np.float64(36.99048117555975), np.float64(-113.62593816542342), np.float64(800.0854666148211))",4015950101.0,0.8212511745271059,4015950101.0,0.77,3.0,31
"(np.float64(36.99048117555975), np.float64(-113.62593816542342), np.float64(800.0854666148211))","(np.float64(36.99473411964879), np.float64(-113.62376954404364), np.float64(801.5433958776297))",4015950101.0,1.0011999581936286,4015950101.0,0.77,3.0,394
"(np.float64(36.99473411964879), np.float64(-113.62376954404364), np.float64(801.5433958776297))","(np.float64(36.99700580476191), np.float64(-113.62329720139682), np.float64(798.5206144420309))",4015950101.0,0.32364770181256364,4015950101.0,0.77,3.0,479
"(np.float64(36.99700580476191), np.float64(-113.62329720139682), np.float64(798.5206144420309))","(np.float64(36.9965071), np.float64(-113.6234348), np.float64(799.62373773471))",4015950101.0,0.056702046420659735,4015950101.0,0.77,3.0,380
"(np.float64(37.0177005), np.float64(-113.6113581), np.float64(761.851755494245))","(np.float64(37.020799), np.float64(-113.60941), np.float64(747.957576728404))",49053271702.0,0.5652025385451813,49053271702.0,,8.0,237
"(np.float64(37.020799), np.float64(-113.60941), np.float64(747.957576728404))","(np.float64(37.0370708), np.float64(-113.5988552), np.float64(739.16117964152))",49053271702.0,3.328833805957276,49053271702.0,,8.0,311
"(np.float64(37.0370708), np.float64(-113.5988552), np.float64(739.16117964152))","(np.float64(37.05622707292731), np.float64(-113.58679375741158), np.float64(749.6659005969062))",49053271702.0,4.541322018735374,49053271702.0,,8.0,31
"(np.float64(37.05622707292731), np.float64(-113.58679375741158), np.float64(749.6659005969062))","(np.float64(37.05849480326087), np.float64(-113.58510622906428), np.float64(756.4898588008574))",49053271702.0,0.5193294552751945,49053271702.0,,8.0,311
"(np.float64(37.05849480326087), np.float64(-113.58510622906428), np.float64(756.4898588008574))","(np.float64(37.05905708502733), np.float64(-113.58477870766028), np.float64(755.9530384022515))",49053271702.0,0.24378894362229514,49053271702.0,,8.0,31
"(np.float64(37.05905708502733), np.float64(-113.58477870766028), np.float64(755.9530384022515))","(np.float64(37.0612941), np.float64(-113.5836105), np.float64(750.511535590759))",49053271702.0,0.36779706049917404,49053271702.0,,8.0,32
"(np.float64(37.0855192), np.float64(-113.5814171), np.float64(749.756055639797))","(np.float64(37.0921256), np.float64(-113.5720113), np.float64(759.196848850863))",49053271800.0,1.8329925298010101,49053271800.0,,8.0,6
"(np.float64(37.09906656630294), np.float64(-113.56279073367818), np.float64(775.3957118154141))","(np.float64(37.1074224), np.float64(-113.5587924), np.float64(806.567640590976))",49053271200.0,1.9691860880674013,49053271200.0,,8.0,45
"(np.float64(37.1074224), np.float64(-113.5587924), np.float64(806.567640590976))","(np.float64(37.1171963213676), np.float64(-113.54931381514598), np.float64(830.1859327714642))",49053271200.0,2.8017203245977473,49053271200.0,,8.0,268
"(np.float64(37.1294527), np.float64(-113.5240163), np.float64(824.802768290439))","(np.float64(37.1333308), np.float64(-113.5183307), np.float64(814.307079914715))",49053270802.0,1.2837413821370929,49053270802.0,,8.0,56
"(np.float64(37.1333308), np.float64(-113.5183307), np.float64(814.307079914715))","(np.float64(37.1368196), np.float64(-113.5130582), np.float64(829.216877930683))",49053270802.0,1.1091478969154305,49053270802.0,,8.0,54
"(np.float64(37.14161269533682), np.float64(-113.50262735301524), np.float64(857.7030794311507))","(np.float64(37.1530181), np.float64(-113.4804088), np.float64(894.525300492263))",49053270805.0,5.60404059284013,49053270805.0,,8.0,33
"(np.float64(37.158942424), np.float64(-113.47333521733331), np.float64(924.3475133431))","(np.float64(37.159088858888055), np.float64(-113.4729672982495), np.float64(925.298149758116))",49053270806.0,0.07192202700495949,49053270806.0,,8.0,33
"(np.float64(37.159088858888055), np.float64(-113.4729672982495), np.float64(925.298149758116))","(np.float64(37.1629255), np.float64(-113.4439913), np.float64(903.150134045102))",49053270806.0,5.8302385503120995,49053270806.0,,8.0,59
"(np.float64(37.160267), np.float64(-113.438575), np.float64(904.348029998044))","(np.float64(37.162863353949305), np.float64(-113.42519884247211), np.float64(901.4967201752409))",49053270904.0,2.606320157832357,49053270904.0,,8.0,38
"(np.float64(37.162863353949305), np.float64(-113.42519884247211), np.float64(901.4967201752409))","(np.float64(37.16510520649246), np.float64(-113.39752437741431), np.float64(814.8907209113263))",49053270904.0,4.1590847316515385,49053270904.0,,8.0,37
"(np.float64(37.16510520649246), np.float64(-113.39752437741431), np.float64(814.8907209113263))","(np.float64(37.1616282117332), np.float64(-113.39281703491017), np.float64(817.6614548648287))",49053270904.0,1.0717913741828125,49053270904.0,,8.0,110
"(np.float64(37.1616282117332), np.float64(-113.39281703491017), np.float64(817.6614548648287))","(np.float64(37.1666784), np.float64(-113.3772286), np.float64(841.341459358135))",49053270904.0,2.9111123549066655,49053270904.0,,8.0,37
"(np.float64(37.1666784), np.float64(-113.3772286), np.float64(841.341459358135))","(np.float64(37.1677033), np.float64(-113.372941), np.float64(845.907628096528))",49053270904.0,0.6919735034275668,49053270904.0,,8.0,110
"(np.float64(37.1677033), np.float64(-113.372941), np.float64(845.907628096528))","(np.float64(37.1681794), np.float64(-113.3711046), np.float64(851.434300376493))",49053270904.0,0.2996967252310704,49053270904.0,,8.0,37
"(np.float64(37.16880291100581), np.float64(-113.3682230262128), np.float64(856.5626405015885))","(np.float64(37.176273867053816), np.float64(-113.3290822353734), np.float64(952.0481263169162))",49053270905.0,6.812138317037818,49053270905.0,,8.0,37
"(np.float64(37.176273867053816), np.float64(-113.3290822353734), np.float64(952.0481263169162))","(np.float64(37.17633), np.float64(-113.3249681), np.float64(949.000690179369))",49053270905.0,0.5841536387842461,49053270905.0,,8.0,380
"(np.float64(37.17633), np.float64(-113.3249681), np.float64(949.000690179369))","(np.float64(37.1764157), np.float64(-113.3169439), np.float64(932.667878891723))",49053270905.0,1.4413285184264484,49053270905.0,,8.0,353
"(np.float64(37.1782588), np.float64(-113.2822066), np.float64(979.872602897533))","(np.float64(37.1817803), np.float64(-113.2741473), np.float64(1045.18487387014))",49053270901.0,2.0361123564730623,49053270901.0,,8.0,354
"(np.float64(37.1817803), np.float64(-113.2741473), np.float64(1045.18487387014))","(np.float64(37.18082035589354), np.float64(-113.27431966254753), np.float64(1051.2926057574862))",49053270901.0,0.177979806753015,49053270901.0,,8.0,16
"(np.float64(37.18082035589354), np.float64(-113.27431966254753), np.float64(1051.2926057574862))","(np.float64(37.1717169), np.float64(-113.2675228), np.float64(1104.04476291325))",49053270901.0,2.686442304022264,49053270901.0,,8.0,354
"(np.float64(37.14010923344371), np.float64(-113.25012598509934), np.float64(1214.565700935156))","(np.float64(37.13898761787093), np.float64(-113.248153339843), np.float64(1225.3965330898884))",49053270102.0,0.24654407918867796,49053270102.0,,8.0,10
"(np.float64(37.13898761787093), np.float64(-113.248153339843), np.float64(1225.3965330898884))","(np.float64(37.1390952), np.float64(-113.2483351), np.float64(1224.14660233388))",49053270102.0,0.12394297052560577,49053270102.0,,8.0,53
"(np.float64(37.1390952), np.float64(-113.2483351), np.float64(1224.14660233388))","(np.float64(37.137236686768), np.float64(-113.2453060152006), np.float64(1244.9586780837988))",49053270102.0,0.4288441808678898,49053270102.0,,8.0,39
"(np.float64(37.137236686768), np.float64(-113.2453060152006), np.float64(1244.9586780837988))","(np.float64(37.118755662905976), np.float64(-113.17359498925131), np.float64(1357.1198303522851))",49053270102.0,15.702298855005116,49053270102.0,,8.0,53
"(np.float64(37.118755662905976), np.float64(-113.17359498925131), np.float64(1357.1198303522851))","(np.float64(37.103388158930585), np.float64(-113.13414969902438), np.float64(1390.125127841823))",49053270102.0,8.776864952930147,49053270102.0,,8.0,221
"(np.float64(35.1514878), np.float64(-103.7397778), np.float64(1261.26354703594))","(np.float64(35.16843455756252), np.float64(-103.67862456307512), np.float64(1220.036353769676))",35037958601.0,8.739006450573656,35037958601.0,356.56,7.0,308
"(np.float64(35.17253006007339), np.float64(-103.60141061489908), np.float64(1205.397582176861))","(np.float64(35.17317598603322), np.float64(-103.5464906877105), np.float64(1176.1980336892009))",35037958900.0,6.923478731613792,35037958900.0,1.0,7.0,183
"(np.float64(35.17317598603322), np.float64(-103.5464906877105), np.float64(1176.1980336892009))","(np.float64(35.17319641780317), np.float64(-103.52541135084242), np.float64(1191.4384046540222))",35037958900.0,3.1986445103557934,35037958900.0,1.0,7.0,311
"(np.float64(35.17319641780317), np.float64(-103.52541135084242), np.float64(1191.4384046540222))","(np.float64(35.158707757546395), np.float64(-103.4618828429202), np.float64(1195.8730793732389))",35037958900.0,12.167546376914885,35037958900.0,1.0,7.0,183
"(np.float64(35.158707757546395), np.float64(-103.4618828429202), np.float64(1195.8730793732389))","(np.float64(35.15853919310658), np.float64(-103.46161248299912), np.float64(1195.7574350649763))",35037958900.0,0.1149087717503717,35037958900.0,1.0,7.0,311
"(np.float64(35.15853919310658), np.float64(-103.46161248299912), np.float64(1195.7574350649763))","(np.float64(35.1527924), np.float64(-103.4524486), np.float64(1192.93896484375))",35037958900.0,1.3503612270601433,35037958900.0,1.0,7.0,31
"(np.float64(35.1527924), np.float64(-103.4524486), np.float64(1192.93896484375))","(np.float64(35.1441518), np.float64(-103.43645), np.float64(1190.57129684954))",35037958900.0,2.354980473800018,35037958900.0,1.0,7.0,311
"(np.float64(35.1441518), np.float64(-103.43645), np.float64(1190.57129684954))","(np.float64(35.1401671512495), np.float64(-103.4265959439916), np.float64(1191.742870126897))",35037958900.0,1.6164129454986975,35037958900.0,1.0,7.0,183
