ci,mcc,mnc,tac
116536587,310,410,39177
116537096,310,410,39177
115206408,310,410,39177
202717705,310,410,27654
203290890,310,410,27654
203291414,310,410,27654
203017177,310,410,27651
202490378,310,410,27651
203745752,310,410,27651
203653591,310,410,27651
134100304,310,410,28171
133203863,310,410,28171
133203862,310,410,28171
133203862,310,410,28171
135389847,310,410,28171
135389846,310,410,28171
134723863,310,410,28171
133204814,310,410,28171
133204759,310,410,28171
133205910,310,410,28171
10289958,310,410,28171
10275223,310,410,28171
10275222,310,410,28171
134552358,310,410,28171
10289957,310,410,28171
133186582,310,410,28171
134652694,310,410,28171
135669784,310,410,28171
135669783,310,410,28171
134031896,310,410,28171
134007064,310,410,28171
135669797,310,410,28171
134031882,310,410,28171
134016407,310,410,28171
134031511,310,410,28171
134015381,310,410,28171
135118229,310,410,28171
134014871,310,410,28171
134031510,310,410,28171
134031765,310,410,28171
134031766,310,410,28171
134021144,310,410,28171
134021142,310,410,28171
134021142,310,410,28171
134655511,310,410,28171
134014999,310,410,28171
134551190,310,410,28171
134016151,310,410,28171
10271127,310,410,28171
10271127,310,410,28171
10271126,310,410,28171
133677205,310,410,28170
135070481,310,410,28170
135070681,310,410,28170
135070680,310,410,28170
133673943,310,410,28170
135070614,310,410,28170
133673878,310,410,28170
133541269,310,410,28170
116565521,310,410,39177
116579606,310,410,39177
116565519,310,410,39177
123558091,310,410,33028
0,000,000,0
123558060,310,410,33028
123557911,310,410,33028
123583404,310,410,33028
116579600,310,410,39177
123573264,310,410,33028
123584527,310,410,33028
123573265,310,410,33028
123600330,310,410,33028
123584684,310,410,33028
123584535,310,410,33028
116562860,310,410,39177
123558829,310,410,33028
123578283,310,410,33028
123583255,310,410,33028
123584528,310,410,33028
123559953,310,410,33028
123583248,310,410,33028
133536919,310,410,28170
133740552,310,410,28170
133740553,310,410,28170
135242595,310,410,27173
135242611,310,410,27173
134715405,310,410,27173
133572376,310,410,27173
10512662,310,410,27179
10512648,310,410,27179
133456649,310,410,26884
133456662,310,410,26884
133453599,310,410,26884
133384717,310,410,26884
133453570,310,410,26884
133453569,310,410,26884
134268417,310,410,26884
134268424,310,410,26884
133590536,310,410,26884
133621250,310,410,26884
133725442,310,410,26884
133383696,310,410,26884
135097617,310,410,26884
133725449,310,410,26884
135097629,310,410,26884
133299606,310,410,26884
133718807,310,410,26884
133718807,310,410,26884
133718807,310,410,26884
135346712,310,410,26884
135346712,310,410,26884
