index,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance,distance_to_next_point_meters
0,,,,,,,1724190435855,5,-114,-16,-85,,,,
2,0.77,3,-113.859312,36.9206963,595.337097167969,559.132279640429,1724190436857,5,-117,-16,-85,22,22a,,8.30110084961426
4,0.77,3,-113.859230200633,36.920732307364,595.337097167969,559.278937228206,1724190437862,5,-117,-16,-85,22,22a,,8.30110084961426
6,0.77,3,-113.859312,36.9206963,595.337097167969,559.132279640429,1724190438863,5,-117,-16,-85,22,22a,,24.8454749673008
8,0.77,3,-113.859067171645,36.9208040712945,594.136535644531,559.571230908124,1724190439865,5,-117,-16,-85,22,22a,,24.8454749673008
9,0.77,3,-113.859312,36.9206963,595.337097167969,559.132279640429,1724190439865,5,-117,-16,-85,22,22a,,24.9195465217548
10,0.77,3,-113.859066441741,36.9208043925921,595.337097167969,559.572539549651,1724190440872,5,-117,-16,-85,22,22a,,24.6968028742708
12,0.77,3,-113.858823078143,36.9209115191134,591.500549316406,560.008864663259,1724190441870,5,-117,-16,-83,22,22a,,49.6163493959637
13,0.77,3,-113.859312,36.9206963,595.337097167969,559.132279640429,1724190441870,5,-117,-16,-83,22,22a,,99.3817381894462
14,0.77,3,-113.858332686582,36.9211273851779,586.215393066406,560.888084711208,1724190442871,5,-117,-16,-83,22,22a,,100.285685019165
16,0.77,3,-113.857344461312,36.9215623932746,586.00537109375,562.659867785664,1724190443869,5,-117,-16,-87,22,22a,,100.988647973657
18,0.77,3,-113.856349304603,36.9220004525302,598.627624511719,564.444078196314,1724190444874,5,-117,-16,-87,22,22a,,7.13450456064695
20,0.77,3,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190445877,5,-114,-15,-85,22,22a,,3.90036272811453
22,0.77,3,-113.856235361078,36.9220350412436,598.620849609375,564.576084621872,1724190446874,5,-114,-15,-85,22,22a,,3.90036272811453
24,0.77,3,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190447880,5,-110,-14,-79,22,22a,,11.7480328132374
26,0.77,3,-113.85614755799,36.9220423675573,599.574340820313,564.588071789516,1724190448880,5,-110,-14,-79,22,22a,,11.7480328132374
27,0.77,3,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190448880,5,-110,-14,-79,22,22a,,13.6868056064244
28,0.77,3,-113.85612586617,36.9220441775287,599.714416503906,564.591033228468,1724190449879,2,-113,-15,-85,22,22a,,13.6868056064244
29,0.77,3,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190449879,2,-113,-15,-85,22,22a,,10.3507018578718
30,0.77,3,-113.856163191927,36.9220410630573,598.620849609375,564.585937392825,1724190450887,2,-113,-15,-85,22,22a,,10.3507018578718
32,0.77,3,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190451889,4,-117,-14,-87,22,22a,,20.5678497625735
34,0.77,3,-113.856048878098,36.9220506014345,598.620849609375,564.601543894468,1724190452889,4,-117,-14,-87,22,22a,,20.6501160059761
36,0.77,3,-113.855817835709,36.9220698796747,601.548889160156,564.633086564954,1724190453893,5,-116,-14,-85,22,22a,,41.2179657685189
37,0.77,3,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190453893,5,-116,-14,-85,22,22a,,82.4359109591278
38,0.77,3,-113.855356671418,36.9221083593494,603.112182617187,564.696046237915,1724190454897,5,-116,-14,-85,22,22a,,83.4320315173921
40,0.77,3,-113.854423196871,36.9221862487211,603.932861328125,564.823487267777,1724190455902,5,-112,-13,-85,22,22a,,83.1828967477091
42,0.77,3,-113.853492508815,36.9222639055873,601.8720703125,564.950547876654,1724190456904,5,-112,-13,-85,22,22a,,82.9337627267696
44,0.77,3,-113.852564607251,36.9223413299478,596.440368652344,565.077228064546,1724190457903,6,-110,-14,-83,22,22a,,2.32446862443572
46,0.77,3,-113.8525386,36.9223435,596.408996582031,565.080778660403,1724190458906,6,-110,-14,-83,22,22a,,4.27641136815865
48,0.77,3,-113.852520926828,36.9223077306397,596.408996582031,565.044789043543,1724190459904,6,-110,-14,-83,22,22a,,4.27641136815865
50,0.77,3,-113.8525386,36.9223435,596.408996582031,565.080778660403,1724190460907,5,-112,-13,-83,22,22a,,8.56354829162874
52,0.77,3,-113.852503209331,36.9222718715695,596.408996582031,565.008709164363,1724190461907,5,-112,-13,-83,22,22a,,8.59780357624465
54,0.77,3,-113.852467677099,36.9221999566252,596.687561035156,564.936351390338,1724190462911,5,-114,-13,-89,22,22a,,17.1613518678724
55,0.77,3,-113.8525386,36.9223435,596.408996582031,565.080778660403,1724190462911,5,-114,-13,-89,22,22a,,11.9946537521652
56,0.77,3,-113.852489029565,36.922243172639,596.408996582031,564.979833514808,1724190463914,5,-114,-13,-89,22,22a,,11.9826971008971
58,0.77,3,-113.852439508553,36.9221429453052,596.855895996094,564.878989012428,1724190464916,5,-112,-12,-89,22,22a,,23.9773508530595
59,0.77,3,-113.8525386,36.9223435,596.408996582031,565.080778660403,1724190464916,5,-112,-12,-89,22,22a,,30.1092487595765
60,0.77,3,-113.8524141672,36.9220916560429,596.408996582031,564.827383926785,1724190465923,5,-112,-12,-89,22,22a,,30.1092487595765
62,0.77,3,-113.8525386,36.9223435,596.408996582031,565.080778660403,1724190466924,5,-115,-13,-85,22,22a,,60.1587110017118
64,0.77,3,-113.852289981536,36.9218403122724,596.408996582031,564.574492459767,1724190467930,5,-115,-13,-85,22,22a,,59.9195646182457
66,0.77,3,-113.852042351614,36.9213391252912,602.403015136719,564.070219325536,1724190468932,5,-116,-13,-89,22,22a,,121.905242602491
68,0.77,3,-113.85153855381,36.9203194710483,604.143432617188,563.044286369956,1724190469933,5,-116,-13,-89,22,22a,,122.514381565381
70,0.77,3,-113.851032239534,36.9192947236273,604.542785644531,562.013228874138,1724190470939,5,-115,-14,-85,22,22a,,1.46140549510002
72,0.77,3,-113.8510262,36.9192825,604.563110351563,562.000929977568,1724190471934,5,-115,-14,-85,22,22a,,5.5269260570242
74,0.77,3,-113.850979257913,36.9192499098753,604.563110351563,562.177310403531,1724190472935,5,-117,-14,-87,22,22a,,5.5269260570242
76,0.77,3,-113.8510262,36.9192825,604.563110351563,562.000929977568,1724190473937,5,-117,-14,-87,22,22a,,16.6083892535573
78,0.77,3,-113.850885139263,36.919184566838,602.986022949219,562.530952276566,1724190474942,5,-116,-15,-89,22,22a,,16.6083892535573
79,0.77,3,-113.8510262,36.9192825,604.563110351563,562.000929977568,1724190474942,5,-116,-15,-89,22,22a,,19.3103522383963
80,0.77,3,-113.850862190576,36.919168634428,604.563110351563,562.61717978491,1724190475943,5,-116,-15,-89,22,22a,,19.3103522383963
82,0.77,3,-113.8510262,36.9192825,604.563110351563,562.000929977568,1724190476943,4,-114,-14,-79,22,22a,,29.0161609547859
84,0.77,3,-113.850779755877,36.9191114031181,604.563110351563,562.926920324781,1724190477946,4,-114,-14,-79,22,22a,,29.0161609547859
86,0.77,3,-113.8510262,36.9192825,604.563110351563,562.000929977568,1724190478949,4,-114,-13,-87,22,22a,,58.0180462671929
88,0.77,3,-113.850533433316,36.9189403906328,604.563110351563,563.852453910984,1724190479950,4,-114,-13,-87,22,22a,,57.8443137291261
90,0.77,3,-113.850042143455,36.9185993065683,599.08203125,565.698428821623,1724190480948,4,-119,-15,-87,22,22a,,118.104705124928
92,0.77,3,-113.84903904712,36.9179028945264,605.851684570313,569.467467867344,1724190481949,4,-119,-15,-87,22,22a,,13.9224732874111
94,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190482954,2,-119,-15,-87,22,22a,,6.06537215325299
96,0.77,3,-113.848860339591,36.9177955247683,607.209167480469,569.766966012644,1724190483953,2,-119,-15,-87,22,22a,,6.06537215325299
98,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190484963,2,-119,-15,-87,22,22a,,18.2689785648049
100,0.77,3,-113.848738692522,36.9177446706985,608.335998535156,569.475618303758,1724190485963,1,-118,-16,-87,22,22a,,18.2689785648049
101,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190485963,1,-118,-16,-87,22,22a,,21.3909346491354
102,0.77,3,-113.848707572485,36.9177316610917,608.547058105469,569.401085053306,1724190486967,1,-118,-16,-87,22,22a,,21.3909346491354
103,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190486967,1,-118,-16,-87,22,22a,,25.650378977935
104,0.77,3,-113.848665113834,36.9177139114228,608.638549804688,569.299395544509,1724190487970,1,-119,-15,-91,22,22a,,25.650378977935
105,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190487970,1,-119,-15,-91,22,22a,,32.1317205521161
106,0.77,3,-113.848600507061,36.9176869028198,608.533935546875,569.144660739113,1724190488975,1,-119,-15,-91,22,22a,,32.1317205521161
107,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190488975,1,-119,-15,-91,22,22a,,42.7108508819958
108,0.77,3,-113.848495053086,36.9176428182082,609.170349121094,568.892095887434,1724190489976,1,-119,-15,-91,22,22a,,42.7108508819958
109,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190489976,1,-119,-15,-91,22,22a,,64.0556439366624
110,0.77,3,-113.848282285906,36.9175538717411,609.871826171875,568.3825132817,1724190490977,1,-119,-15,-91,22,22a,,64.0556439366624
111,0.77,3,-113.8489208,36.9178208,607.209167480469,569.911770172434,1724190490977,1,-119,-15,-91,22,22a,,128.175455855276
112,0.77,3,-113.847643133936,36.9172866768206,615.292358398438,566.851728661805,1724190491979,1,-121,-16,-91,22,22a,,130.392845289084
114,0.77,3,-113.846343371918,36.9167433165159,605.459411621094,563.738766799517,1724190492979,1,-121,-16,-91,22,22a,,15.3864038665771
116,0.77,3,-113.84619,36.9166792,604.592346191406,563.371437299767,1724190493981,2,-122,-16,-91,22,22a,,2.61648235174517
118,0.77,3,-113.846164107754,36.916690387181,604.273559570312,563.400109432456,1724190494985,2,-122,-16,-91,22,22a,,2.61648235174517
119,0.77,3,-113.84619,36.9166792,604.592346191406,563.371437299767,1724190494985,2,-122,-16,-91,22,22a,,2.94415456241474
120,0.77,3,-113.846160865168,36.916691788195,604.235046386719,563.403700154824,1724190495989,1,-121,-16,-89,22,22a,,2.94415456241474
121,0.77,3,-113.84619,36.9166792,604.592346191406,563.371437299767,1724190495989,1,-121,-16,-89,22,22a,,3.36564764235328
122,0.77,3,-113.846156694147,36.916693590355,604.185485839844,563.408318992194,1724190496993,1,-121,-16,-89,22,22a,,3.36564764235328
123,0.77,3,-113.84619,36.9166792,604.592346191406,563.371437299767,1724190496993,1,-121,-16,-89,22,22a,,3.91233976224458
124,0.77,3,-113.846151284178,36.9166959278232,604.121154785156,563.414309795305,1724190497993,1,-122,-16,-91,22,22a,,3.91233976224458
125,0.77,3,-113.84619,36.9166792,604.592346191406,563.371437299767,1724190497993,1,-122,-16,-91,22,22a,,4.70748192810757
126,0.77,3,-113.846143415591,36.9166993275788,604.027587890625,563.423023182811,1724190498996,1,-122,-16,-91,22,22a,,4.70748192810757
