,population_density,rucc,longitude,latitude,elevation,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,physiographic_region_provcode,physiographic_region_fencode,cell_tower_distance
0,,,,,,,1724190435855,5.0,-114,-16,-85,,,
2,0.77,3.0,-113.859312,36.9206963,595.3370971679688,559.132279640429,1724190436857,5.0,-117,-16,-85,22.0,22a,
4,0.77,3.0,-113.859312,36.9206963,595.3370971679688,559.132279640429,1724190437862,5.0,-117,-16,-85,22.0,22a,
6,0.77,3.0,-113.859312,36.9206963,595.3370971679688,559.132279640429,1724190438863,5.0,-117,-16,-85,22.0,22a,
8,0.77,3.0,-113.85906717164544,36.92080407129448,594.1365356445312,559.5712309081238,1724190439865,5.0,-117,-16,-85,22.0,22a,
9,0.77,3.0,-113.859312,36.9206963,595.3370971679688,559.132279640429,1724190439865,5.0,-117,-16,-85,22.0,22a,
10,0.77,3.0,-113.859312,36.9206963,595.3370971679688,559.132279640429,1724190440872,5.0,-117,-16,-85,22.0,22a,
12,0.77,3.0,-113.8588230781434,36.92091151911335,591.5005493164062,560.0088646632591,1724190441870,5.0,-117,-16,-83,22.0,22a,
13,0.77,3.0,-113.859312,36.9206963,595.3370971679688,559.132279640429,1724190441870,5.0,-117,-16,-83,22.0,22a,
14,0.77,3.0,-113.8583326865818,36.92112738517793,586.2153930664062,560.888084711208,1724190442871,5.0,-117,-16,-83,22.0,22a,
16,0.77,3.0,-113.85734446131244,36.92156239327457,586.00537109375,562.6598677856643,1724190443869,5.0,-117,-16,-87,22.0,22a,
18,0.77,3.0,-113.85634930460331,36.9220004525302,598.6276245117188,564.4440781963142,1724190444874,5.0,-117,-16,-87,22.0,22a,
20,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190445877,5.0,-114,-15,-85,22.0,22a,
22,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190446874,5.0,-114,-15,-85,22.0,22a,
24,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190447880,5.0,-110,-14,-79,22.0,22a,
26,0.77,3.0,-113.8561475579903,36.92204236755728,599.5743408203125,564.5880717895157,1724190448880,5.0,-110,-14,-79,22.0,22a,
27,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190448880,5.0,-110,-14,-79,22.0,22a,
28,0.77,3.0,-113.85612586617027,36.92204417752868,599.7144165039062,564.5910332284682,1724190449879,2.0,-113,-15,-85,22.0,22a,
29,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190449879,2.0,-113,-15,-85,22.0,22a,
30,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190450887,2.0,-113,-15,-85,22.0,22a,
32,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190451889,4.0,-117,-14,-87,22.0,22a,
34,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190452889,4.0,-117,-14,-87,22.0,22a,
36,0.77,3.0,-113.85581783570896,36.92206987967469,601.5488891601562,564.6330865649536,1724190453893,5.0,-116,-14,-85,22.0,22a,
37,0.77,3.0,-113.856279,36.9220314,598.620849609375,564.570126891992,1724190453893,5.0,-116,-14,-85,22.0,22a,
38,0.77,3.0,-113.85535667141794,36.922108359349394,603.1121826171875,564.6960462379151,1724190454897,5.0,-116,-14,-85,22.0,22a,
40,0.77,3.0,-113.85442319687112,36.92218624872113,603.932861328125,564.8234872677767,1724190455902,5.0,-112,-13,-85,22.0,22a,
42,0.77,3.0,-113.85349250881548,36.922263905587286,601.8720703125,564.9505478766538,1724190456904,5.0,-112,-13,-85,22.0,22a,
44,0.77,3.0,-113.85256460725104,36.92234132994785,596.4403686523438,565.0772280645461,1724190457903,6.0,-110,-14,-83,22.0,22a,
46,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190458906,6.0,-110,-14,-83,22.0,22a,
48,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190459904,6.0,-110,-14,-83,22.0,22a,
50,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190460907,5.0,-112,-13,-83,22.0,22a,
52,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190461907,5.0,-112,-13,-83,22.0,22a,
54,0.77,3.0,-113.852467677099,36.92219995662524,596.6875610351562,564.936351390338,1724190462911,5.0,-114,-13,-89,22.0,22a,
55,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190462911,5.0,-114,-13,-89,22.0,22a,
56,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190463914,5.0,-114,-13,-89,22.0,22a,
58,0.77,3.0,-113.85243950855264,36.92214294530525,596.8558959960938,564.8789890124283,1724190464916,5.0,-112,-12,-89,22.0,22a,
59,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190464916,5.0,-112,-12,-89,22.0,22a,
60,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190465923,5.0,-112,-12,-89,22.0,22a,
62,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190466924,5.0,-115,-13,-85,22.0,22a,
64,0.77,3.0,-113.8525386,36.9223435,596.4089965820312,565.080778660403,1724190467930,5.0,-115,-13,-85,22.0,22a,
66,0.77,3.0,-113.85204235161396,36.921339125291176,602.4030151367188,564.070219325536,1724190468932,5.0,-116,-13,-89,22.0,22a,
68,0.77,3.0,-113.85153855381031,36.92031947104825,604.1434326171875,563.044286369956,1724190469933,5.0,-116,-13,-89,22.0,22a,
70,0.77,3.0,-113.85103223953412,36.91929472362729,604.5427856445312,562.0132288741385,1724190470939,5.0,-115,-14,-85,22.0,22a,
72,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190471934,5.0,-115,-14,-85,22.0,22a,
74,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190472935,5.0,-117,-14,-87,22.0,22a,
76,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190473937,5.0,-117,-14,-87,22.0,22a,
78,0.77,3.0,-113.850885139263,36.91918456683799,602.9860229492188,562.530952276566,1724190474942,5.0,-116,-15,-89,22.0,22a,
79,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190474942,5.0,-116,-15,-89,22.0,22a,
80,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190475943,5.0,-116,-15,-89,22.0,22a,
82,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190476943,4.0,-114,-14,-79,22.0,22a,
84,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190477946,4.0,-114,-14,-79,22.0,22a,
86,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190478949,4.0,-114,-13,-87,22.0,22a,
88,0.77,3.0,-113.8510262,36.9192825,604.5631103515625,562.000929977568,1724190479950,4.0,-114,-13,-87,22.0,22a,
90,0.77,3.0,-113.8500421434555,36.918599306568304,599.08203125,565.6984288216224,1724190480948,4.0,-119,-15,-87,22.0,22a,
92,0.77,3.0,-113.84903904712044,36.91790289452642,605.8516845703125,569.467467867344,1724190481949,4.0,-119,-15,-87,22.0,22a,
94,0.77,3.0,-113.8489208,36.9178208,607.2091674804688,569.911770172434,1724190482954,2.0,-119,-15,-87,22.0,22a,
96,0.77,3.0,-113.8489208,36.9178208,607.2091674804688,569.911770172434,1724190483953,2.0,-119,-15,-87,22.0,22a,
98,0.77,3.0,-113.8489208,36.9178208,607.2091674804688,569.911770172434,1724190484963,2.0,-119,-15,-87,22.0,22a,
100,0.77,3.0,-113.84873869252228,36.91774467069848,608.3359985351562,569.4756183037582,1724190485963,1.0,-118,-16,-87,22.0,22a,
101,0.77,3.0,-113.8489208,36.9178208,607.2091674804688,569.911770172434,1724190485963,1.0,-118,-16,-87,22.0,22a,
102,0.77,3.0,-113.84870757248537,36.91773166109173,608.5470581054688,569.4010850533064,1724190486967,1.0,-118,-16,-87,22.0,22a,
103,0.77,3.0,-113.8489208,36.9178208,607.2091674804688,569.911770172434,1724190486967,1.0,-118,-16,-87,22.0,22a,
104,0.77,3.0,-113.8486651138344,36.91771391142279,608.6385498046875,569.2993955445088,1724190487970,1.0,-119,-15,-91,22.0,22a,
