,technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,altitude_orig,handover_occured,pci_color
55790,4G_LTE,-91,2147483647,-91,-10,-59,2147483647,49,1100,342,42,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259228856,15767.460774662,2024-08-21 12:53:48.856000,-105.0380343,34.9787752,2,1634.18973730205,0,0
55791,4G_LTE,-91,2147483647,-91,-10,-59,2147483647,49,1100,342,42,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259229865,15768.470376953,2024-08-21 12:53:49.865000,-105.03582526049148,34.978655124574665,2,1631.9968829111335,0,0
55792,4G_LTE,-88,2147483647,-88,-9,-57,2147483647,52,1100,342,42,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259230865,15769.469969036,2024-08-21 12:53:50.865000,-105.03360734933835,34.97853456691871,2,1629.7952218760768,0,0
55793,4G_LTE,-88,2147483647,-88,-9,-57,2147483647,52,1100,342,42,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259231866,15770.471101119,2024-08-21 12:53:51.866000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55794,4G_LTE,-87,2147483647,-87,-9,-55,2147483647,53,1100,342,41,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259232867,15771.47177664,2024-08-21 12:53:52.867000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55795,4G_LTE,-87,2147483647,-87,-9,-55,2147483647,53,1100,342,41,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259233869,15772.473814191,2024-08-21 12:53:53.869000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55796,4G_LTE,-86,2147483647,-86,-9,-57,2147483647,54,1100,342,40,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259234869,15773.473544608,2024-08-21 12:53:54.869000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55797,4G_LTE,-86,2147483647,-86,-9,-57,2147483647,54,1100,342,40,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259235872,15774.476281482,2024-08-21 12:53:55.872000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55798,4G_LTE,-88,2147483647,-88,-10,-55,2147483647,52,1100,342,40,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259236879,15775.48419419,2024-08-21 12:53:56.879000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55799,4G_LTE,-88,2147483647,-88,-10,-55,2147483647,52,1100,342,40,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259237883,15776.487764242,2024-08-21 12:53:57.883000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55800,4G_LTE,-91,2147483647,-91,-9,-63,2147483647,49,1100,342,40,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259238886,15777.490428096,2024-08-21 12:53:58.886000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55801,4G_LTE,-91,2147483647,-91,-9,-63,2147483647,49,1100,342,40,120763914,27909,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259239884,15778.48845471,2024-08-21 12:53:59.884000,-105.0333412,34.9785201,2,1629.53102255187,0,0
55802,4G_LTE,-96,2147483647,-96,-9,-67,2147483647,44,1100,342,39,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259240884,15779.488979397,2024-08-21 12:54:00.884000,-105.03173566626464,34.978441427068674,2,1627.7138251585925,0,0
55803,4G_LTE,-96,2147483647,-96,-9,-67,2147483647,44,1100,342,39,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259241886,15780.490507574,2024-08-21 12:54:01.886000,-105.0300990998325,34.978361233500834,2,1625.86150390929,0,0
55804,4G_LTE,-99,2147483647,-99,-8,-71,2147483647,41,1100,342,39,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259242895,15781.49780148,2024-08-21 12:54:02.895000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55805,4G_LTE,-99,2147483647,-99,-8,-71,2147483647,41,1100,342,39,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259243895,15782.497954136,2024-08-21 12:54:03.895000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55806,4G_LTE,-103,2147483647,-103,-10,-73,2147483647,37,1100,342,38,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259244893,15783.497527989,2024-08-21 12:54:04.893000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55807,4G_LTE,-103,2147483647,-103,-10,-73,2147483647,37,1100,342,38,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259245897,15784.501385645,2024-08-21 12:54:05.897000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55808,4G_LTE,-105,2147483647,-105,-11,-73,2147483647,35,1100,342,38,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259246896,15785.50076377,2024-08-21 12:54:06.896000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55809,4G_LTE,-105,2147483647,-105,-11,-73,2147483647,35,1100,342,38,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259247905,15786.509228926,2024-08-21 12:54:07.905000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55810,4G_LTE,-104,2147483647,-104,-12,-71,2147483647,36,1100,342,37,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259248909,15787.513315592,2024-08-21 12:54:08.909000,-105.0284658,34.9782812,2,1624.01287990799,0,0
55811,4G_LTE,-104,2147483647,-104,-12,-71,2147483647,36,1100,342,37,120763914,27909,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724259249911,15788.515158196,2024-08-21 12:54:09.911000,-105.0284658,34.9782812,2,1624.01287990799,0,0
