,technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,altitude_orig,handover_occured,pci_color
116011,4G_LTE,-86,2147483647,-86,-12,-57,2147483647,54,67086,65,1,134930035,27173,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359035242,25576.885021441,2024-08-22 16:37:15.242000,-97.1145782,32.9434617,2,158.759174972564,0,0
116012,4G_LTE,-86,2147483647,-86,-12,-57,2147483647,54,67086,65,1,134930035,27173,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359035242,25576.885021441,2024-08-22 16:37:15.242000,-97.1145782,32.9434617,2,158.759174972564,0,0
116013,4G_LTE,-86,2147483647,-86,-12,-57,2147483647,54,67086,65,1,134930035,27173,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359036249,25577.891578055,2024-08-22 16:37:16.249000,-97.1145782,32.9434617,2,158.759174972564,0,0
116014,4G_LTE,-86,2147483647,-86,-12,-57,2147483647,54,67086,65,1,134930035,27173,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359036249,25577.891578055,2024-08-22 16:37:16.249000,-97.1145782,32.9434617,2,158.759174972564,0,0
116015,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359037248,25578.890796336,2024-08-22 16:37:17.248000,-97.1145782,32.9434617,2,158.759174972564,0,0
116016,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359037248,25578.890796336,2024-08-22 16:37:17.248000,-97.1145782,32.9434617,2,158.759174972564,0,0
116017,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359038251,25579.893553158,2024-08-22 16:37:18.251000,-97.1145782,32.9434617,2,158.759174972564,0,0
116018,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359038251,25579.893553158,2024-08-22 16:37:18.251000,-97.1145782,32.9434617,2,158.759174972564,0,0
116019,4G_LTE,-78,2147483647,-78,-12,-51,2147483647,62,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359039257,25580.899765085,2024-08-22 16:37:19.257000,-97.1145782,32.9434617,2,158.759174972564,0,0
116020,4G_LTE,-78,2147483647,-78,-12,-51,2147483647,62,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359039257,25580.899765085,2024-08-22 16:37:19.257000,-97.1145782,32.9434617,2,158.759174972564,0,0
116021,4G_LTE,-78,2147483647,-78,-12,-51,2147483647,62,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359040257,25581.899351804,2024-08-22 16:37:20.257000,-97.1145782,32.9434617,2,158.759174972564,0,0
116022,4G_LTE,-78,2147483647,-78,-12,-51,2147483647,62,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359040257,25581.899351804,2024-08-22 16:37:20.257000,-97.1145782,32.9434617,2,158.759174972564,0,0
116023,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359041261,25582.904001334,2024-08-22 16:37:21.261000,-97.1145782,32.9434617,2,158.759174972564,0,0
116024,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359041261,25582.904001334,2024-08-22 16:37:21.261000,-97.1145782,32.9434617,2,158.759174972564,0,0
116025,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359042262,25583.904829199,2024-08-22 16:37:22.262000,-97.1145782,32.9434617,2,158.759174972564,0,0
116026,4G_LTE,-80,2147483647,-80,-10,-51,2147483647,60,67086,65,0,134930035,27173,4,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",310,410,1,1724359042262,25583.904829199,2024-08-22 16:37:22.262000,-97.1145782,32.9434617,2,158.759174972564,0,0
