technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode
4G_LTE,-109,2147483647,-109,-20,-79,2147483647,31,5145,273,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724205955142,20237.843233582,2024-08-20 22:05:55.142000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-109,2147483647,-109,-18,-79,2147483647,31,5145,16,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724205955142,20237.843233582,2024-08-20 22:05:55.142000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-121,2147483647,-121,-11,-101,2147483647,19,67086,197,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724205955142,20237.843233582,2024-08-20 22:05:55.142000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-102,2147483647,-102,-13,-73,2147483647,38,5145,143,2147483647,123558829,33028,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724205955142,20237.843233582,2024-08-20 22:05:55.142000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-109,2147483647,-109,-18,-79,2147483647,31,5145,16,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724205956148,20238.84747155,2024-08-20 22:05:56.148000,-111.27802836661682,36.722527126344666,1692.7471712667727,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-109,2147483647,-109,-20,-79,2147483647,31,5145,273,2147483647,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724205956148,20238.84747155,2024-08-20 22:05:56.148000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-121,2147483647,-121,-11,-101,2147483647,19,67086,197,2147483647,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724205956148,20238.84747155,2024-08-20 22:05:56.148000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-123,2147483647,-123,-16,-99,2147483647,17,2000,197,2147483647,2147483647,2147483647,0,2147483647,[4],[FDD],"Band Number = 4, Uplink = 1710.0 - 1755.0 MHz, Downlink = 1710.0 - 1755.0 MHz ",Unavailable,Unavailable,0,1724205956148,20238.84747155,2024-08-20 22:05:56.148000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-123,2147483647,-123,-15,-99,2147483647,17,2000,410,2147483647,2147483647,2147483647,0,2147483647,[4],[FDD],"Band Number = 4, Uplink = 1710.0 - 1755.0 MHz, Downlink = 1710.0 - 1755.0 MHz ",Unavailable,Unavailable,0,1724205956148,20238.84747155,2024-08-20 22:05:56.148000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
4G_LTE,-128,2147483647,-128,-20,-99,2147483647,12,2000,164,2147483647,2147483647,2147483647,0,2147483647,[4],[FDD],"Band Number = 4, Uplink = 1710.0 - 1755.0 MHz, Downlink = 1710.0 - 1755.0 MHz ",Unavailable,Unavailable,0,1724205956148,20238.84747155,2024-08-20 22:05:56.148000,-111.2781271,36.7226928,1692.93609346428,40059422011047,AZ,4005942201,2383465815,40059422011047,5375780,4005,Coconino County,3.64,3,9.438,14.677,287.0,25.0,214.0,21d,intermontane_plateaus,colorado_plateaus,navajo,21.0
