technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,geo_id_cg_api,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,elevation
4G_LTE,-134,2147483647,-134,-20,-93,2147483647,6,66486,4,45,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-132,2147483647,-132,-18,-103,2147483647,8,66986,24,45,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-119,2147483647,-119,-15,-93,2147483647,21,700,402,45,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-134,2147483647,-134,-20,-93,2147483647,6,66486,4,45,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-119,2147483647,-119,-15,-93,2147483647,21,700,402,45,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-119,2147483647,-119,-17,-89,2147483647,21,5145,32,45,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-132,2147483647,-132,-18,-103,2147483647,8,66986,24,45,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-119,2147483647,-119,-17,-89,2147483647,21,5145,32,45,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-114,2147483647,-114,-16,-85,2147483647,26,5145,201,45,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
4G_LTE,-114,2147483647,-114,-16,-85,2147483647,26,5145,201,45,92403215,33795,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190435855,4718.556907627,2024-08-20 17:47:15.855000,,,,,,,,,,,,,,,,,,,,,,,,
