technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,elevation,distance_to_next_point_meters
4G_LTE,-117,2147483647,-117,-19,-87,2147483647,23,9820,428,10,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724699922844,24916.913311797,2024-08-26 15:18:42.844000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-111,2147483647,-111,-16,-87,2147483647,29,5110,418,10,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,1,1724699922844,24916.913311797,2024-08-26 15:18:42.844000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-109,2147483647,-109,-12,-87,2147483647,31,5110,485,10,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724699922844,24916.913311797,2024-08-26 15:18:42.844000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,16.624597808656617
4G_LTE,-104,2147483647,-104,-12,-81,2147483647,36,5110,485,10,2147483647,2147483647,2,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.58601942959844,35.925150895499726,202.3742284141264,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.0305328369141,16.624597808656617
4G_LTE,-108,2147483647,-108,-16,-81,2147483647,32,5110,418,10,2147483647,2147483647,1,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,1,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-107,2147483647,-107,-10,-77,2147483647,33,900,418,10,198001161,9862,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-115,2147483647,-115,-15,-91,2147483647,25,9820,318,10,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-108,2147483647,-108,-11,-89,2147483647,32,9820,418,10,2147483647,2147483647,1,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-117,2147483647,-117,-19,-87,2147483647,23,9820,428,10,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,900,318,10,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724699923843,24917.91217763,2024-08-26 15:18:43.843000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,19.046419573624494
4G_LTE,-107,2147483647,-107,-10,-77,2147483647,33,900,418,10,198001161,9862,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",310,410,1,1724699924845,24918.913975182,2024-08-26 15:18:44.845000,-80.58599841270848,35.925164486515136,202.30949688151367,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,241.9741821289062,19.046419573624494
4G_LTE,-118,2147483647,-118,-18,-91,2147483647,22,900,318,10,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724699924845,24918.913975182,2024-08-26 15:18:44.845000,-80.5861637,35.9250576,202.81857789805,370590806003029.0,NC,37059080600.0,52519736.0,370590806003029.0,1924775.0,37059.0,Davie County,213.48,2.0,18.904,35.425,223.0,237.0,41.0,4a,appalachian_highlands,piedmont,piedmont_upland,4.0,242.3365020751953,0.0
