technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,geo_id_cg_api,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name
4G_LTE,-87,2147483647,-87,-17,-61,2147483647,53,5110,346,5,2147483647,2147483647,3,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724439657965,20339.898939272,2024-08-23 15:00:57.965000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-80,2147483647,-80,-11,-51,2147483647,60,5110,447,5,64453136,24594,4,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724439657965,20339.898939272,2024-08-23 15:00:57.965000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-87,2147483647,-87,-17,-59,2147483647,53,66486,447,5,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724439657965,20339.898939272,2024-08-23 15:00:57.965000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-96,2147483647,-96,-20,-67,2147483647,44,67086,346,6,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.44799072291868,34.63932618632028,66.44519615170384,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-95,2147483647,-95,-18,-67,2147483647,45,67086,394,6,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-91,2147483647,-91,-15,-67,2147483647,49,67086,447,6,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-94,2147483647,-94,-18,-67,2147483647,46,66486,346,6,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-95,2147483647,-95,-19,-67,2147483647,45,66486,394,6,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-95,2147483647,-95,-17,-67,2147483647,45,66486,447,6,2147483647,2147483647,3,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
4G_LTE,-93,2147483647,-93,-16,-63,2147483647,47,700,394,6,2147483647,2147483647,3,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724439658964,20340.898449897,2024-08-23 15:00:58.964000,-92.4482069,34.6392448,66.3331169899631,051250104114000,AR,05125010411,10067891,051250104114000,7376,05125,Saline County
