technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude
4G_LTE,-102,2147483647,-102,-11,-73,2147483647,38,5330,436,9,197116845,9995,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",310,410,1,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-105,2147483647,-105,-14,-79,2147483647,35,5330,381,9,2147483647,2147483647,2,2147483647,[14],[FDD],"Band Number = 14, Uplink = 788.0 - 798.0 MHz, Downlink = 788.0 - 798.0 MHz ",Unavailable,Unavailable,0,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-116,2147483647,-116,-16,-87,2147483647,24,9820,381,9,2147483647,2147483647,0,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,0,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-104,2147483647,-104,-12,-81,2147483647,36,9820,436,9,2147483647,2147483647,2,2147483647,[30],[FDD],"Band Number = 30, Uplink = 2305.0 - 2315.0 MHz, Downlink = 2305.0 - 2315.0 MHz ",Unavailable,Unavailable,1,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-101,2147483647,-101,-13,-77,2147483647,39,950,325,9,2147483647,2147483647,2,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-112,2147483647,-112,-16,-85,2147483647,28,950,381,9,2147483647,2147483647,1,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-103,2147483647,-103,-7,-83,2147483647,37,66486,436,9,2147483647,2147483647,2,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-116,2147483647,-116,-18,-89,2147483647,24,66486,381,9,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724706351540,31345.609599293,2024-08-26 17:05:51.540000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-117,2147483647,-117,-16,-91,2147483647,23,66486,381,10,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724706352543,31346.61200674,2024-08-26 17:05:52.543000,-78.7538798,35.8262063,61.7275957011065
4G_LTE,-107,2147483647,-107,-7,-91,2147483647,33,66486,436,10,2147483647,2147483647,1,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,1,1724706352543,31346.61200674,2024-08-26 17:05:52.543000,-78.7538798,35.8262063,61.7275957011065
